key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150416|sii|3717|1,115/04/16,18:28:03,3717,聯嘉投控,公告本公司董事會決議通過以私募方式辦理現金增資發行普通股及(或)國內無擔保轉換公司債,現金增資|公司債,1150416,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3717"", ""data"": [[1, ""115/04/16"", ""18:28:03"", ""吳俊德"", ""副總經理"", ""(037)539000"", ""公告本公司董事會決議通過以私募方式辦理現金增資發行普通股\r\n及(或)國內無擔保轉換公司債"", ""11"", ""115/04/16"", ""1.董事會決議日期:115/04/16\n2.私募有價證券種類:普通股、國內無擔保轉換公司債\n3.私募對象及其與公司間關係:策略性投資人；無\n4.私募股數或張數:擬提請股東會授權董事會，於普通股不超過7,000萬股額度內，\n視市場環境及公司需求，於適當時機依相關法令、本公司章程及其他主管機關所\n訂相關規範及以下籌資方式之辦理原則，擇一或以搭配之方式辦理。\n若以私募方式辦理國內無擔保轉換公司債時，私募轉換公司債得轉換之普通股股\n數應於前述7,000萬股範圍內依私募當時之轉換價格計算之。\n本公司將視市場及洽特定人之狀況，於股東常會決議日起一年內一次\n或分次(最多不超過三次)。\n5.得私募額度:不超過7,000萬股額度\n6.私募價格訂定之依據及合理性:私募價格之訂定將依據主管機關法令再加上考量\n證券交易法對於私募有價證券有三年轉讓限制而定。\n7.本次私募資金用途:本公司為配合營運發展，尋求產業合作與多角化策略發展\n機會，以擴展市場版圖及創造股東長期價值。\n8.不採用公開募集之理由:考量資本市場狀況、籌募資本之時效性、可行性、發行\n成本及引進策略性投資人之實際需求，而私募有價證券受限於三年內不得自由轉\n讓之規定，可確保本公司與策略性投資人之長期合作關係，故不採用公開募集而\n擬以私募方式發行有價證券。\n9.獨立董事反對或保留意見:無\n10.實際定價日:提請股東會授權董事會決定\n11.參考價格:本次私募普通股發行價格以不低於參考價格之八成為訂定私募價格\n之依據。私募普通股之參考價格係以下列二基準計算價格較高者定之：\nA.依定價日前一、三或五個營業日擇一計算之普通股收盤價簡單算數平均數扣\n除無償配股除權及配息，並加回減資反除權後之股價。\nB.定價日前 30 個營業日之普通股收盤價簡單算數平均數扣除無償配股除權及\n配息，並加回減資反除權後之股價。\n本公司私募國內無擔保轉換公司債發行價格之訂定，將不低於理論價格之八成\n，且轉換價格不低於下列二基準計算價格較高者之八成：\nA.依定價日前一、三或五個營業日擇一計算之普通股收盤價簡單算數平均數扣\n除無償配股除權及配息，並加回減資反除權後之股價。\nB.定價日前 30 個營業日之普通股收盤價簡單算數平均數扣除無償配股除權及\n配息，並加回減資反除權後之股價。\n12.實際私募價格、轉換或認購價格:定價日、實際參考價格及實際發行價格，\n擬提請股東會授權董事會依據上述規定，視市場狀況、客觀條件及日後洽特\n定人情形，於不低於股東會決議成數之範圍內決定之。\n13.本次私募新股之權利義務:除受證券交易法第43條之8規定之轉讓限制外，\n其權利義務與已發行之普通股相同。\n14.附有轉換、交換或認股者，其換股基準日:不適用\n15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用\n16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對\n上市普通股股權比率之可能影響（上市普通股數A、A/已發行普通股):不適用\n17.前項預計上市普通股未達6000萬股且未達25%者，請說明股權流通性偏低之因應措施:\n不適用\n18.其他應敘明事項:(1)本次私募普通股及私募國內無擔保轉換公司債之主\n要計畫，除私募價格訂價成數外，包括實際發行價格及實際每股轉換價格\n、發行股數、發行張數、實際發行條件及轉換辦法、私募金額、增資基準\n日、計劃項目、預計進度、資金運用進度、預計可能產生效益及其他未盡\n事宜，未來如因主管機關之指示修正或因客觀環境、市場條件變更而有所\n修正時，擬請股東常會授權董事會全權處理之。\n(2)為配合辦理本次辦理私募有價證券，擬提請股東常會通過本私募案，\n並授權董事長或其指定之人代表本公司商議、簽署及交付一切有關發行　\n本次私募有價證券之契約或文件，並為本公司辦理一切有關發行本次私\n募有價證券所需事宜。上述未盡事宜，授權董事長依法全權處理之。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""聯嘉投控""}, ""datetime"": ""115/04/17 16:11:57""}",2026-04-17 16:11:54
1150417|sii|2459|1,115/04/17,14:40:42,2459,敦吉,公告本公司115年第1季自結合併損益資訊,自結合併,1150417,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2459"", ""data"": [[1, ""115/04/17"", ""14:40:42"", ""陳良德"", ""執行副總"", ""02-87976688"", ""公告本公司115年第1季自結合併損益資訊"", ""51"", ""115/04/17"", ""1.事實發生日:115/04/17\n2.公司名稱:敦吉科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:本公司115年第1季自結合併損益資訊\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n  本公司115年第1季自結合併損益資訊如下：\n\n(單位：新台幣仟元)\n營業收入             1,246,416仟元\n營業淨利               186,194仟元\n稅前淨利               194,526仟元\n稅後EPS(多數股權)          1.41 元\n\n(註：115年第1季資料為本公司自結數，未經會計師核閱)""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""敦吉""}, ""datetime"": ""115/04/17 16:11:58""}",2026-04-17 16:11:54
1150417|sii|6923|1,115/04/17,14:54:38,6923,中台,公告本公司董事會決議買回庫藏股,庫藏股,1150417,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6923"", ""data"": [[1, ""115/04/17"", ""14:54:38"", ""張啓達"", ""總經理"", ""02-23975801"", ""公告本公司董事會決議買回庫藏股"", ""35"", ""115/04/17"", ""1.董事會決議日期:115/04/17\r\n2.買回股份目的:維護公司信用及股東權益\r\n3.買回股份種類:普通股\r\n4.買回股份總金額上限(元):1,427,574,590\r\n5.預定買回之期間:115/04/20~115/06/19\r\n6.預定買回之數量(股):1,500,000\r\n7.買回區間價格(元):65.00~95.00，公司股價低於區間價格下限，將繼續買回\r\n8.買回方式:自集中交易市場買回\r\n9.預定買回股份占公司已發行股份總數之比率(%):1.64\r\n10.申報時已持有本公司股份之累積股數(股):0\r\n11.申報前三年內買回公司股份之情形:\r\n(1)實際買回股份期間：114/04/11 ~ 114/06/10 、預定買回股數(股)：2000000 、實際已買回股\r\n數(股)：400000 、執行情形(實際已買回股數占預定買回股數%)：20.00\r\n12.已申報買回但未執行完畢之情形:\r\n第一次已申報買回但未執行完畢之情形說明：為維護股東權益及兼顧市場機制，視股價變化及成交量狀\r\n況採行分批買回策略，故未執行完畢。\r\n13.董事會決議買回股份之會議紀錄:\r\n(一).依據證交易法第二十八條之二第一項及行政院金融監督管理委員會證券期貨局發布之「上市上\r\n櫃公司買回本公司股份辦法」等相關規定辦理。\r\n(二).本公司擬自證券營業處所買進本公司股份，相關事項如下：\r\n    (1)\t買回股份之目的：維護公司信用及股東權益，買回並辦理銷除股份。\r\n    (2)\t買回股份之種類：本公司普通股。\r\n    (3)\t買回股份之總金額上限：新台幣142,500仟元。\r\n    (4)\t預定買回之期間：115年4月20日至115年6月19日。\r\n    (5)\t預定買回之數量：1,500仟股。\r\n    (6)\t預定買回之區間價格：每股新台幣65元至95元。\r\n    (7)\t買回之方式：自集中交易市場買回。\r\n(三).當公司股價低於所定區間價格下限時，將繼續執行買回公司股份。\r\n(四).擬授權董事長及其指定人員視市場情況全權處理買回相關事宜，並於下次董事會進行執行情形\r\n進度報告。\r\n(五).買回公司股份價格合理性評估意見書，詳如附件。\r\n14.「上市上櫃公司買回本公司股份辦法」第十條規定之轉讓辦法:\r\n不適用\r\n15.「上市上櫃公司買回本公司股份辦法」第十一條規定之轉換或認股辦法:\r\n不適用\r\n16.董事會已考慮公司財務狀況，不影響公司資本維持之聲明:\r\n一、本公司經115年4月17日第九屆第八次董事會三分之二以上董事之出席及出席董事超過二分之一\r\n之同意通過，自申報日起二個月內於集中交易市場﹙證券商營業處所﹚可買回本公司股份1,500仟\r\n股。\r\n二、上述買回股份總數，僅占本公司已發行股份之1.64％，且買回股份所需金額上限僅占本公司最\r\n近期財務報表之流動資產之26%，茲聲明本公司董事會已考慮公司財務狀況，上述股份之買回並不影\r\n響本公司資本之維持。\r\n三、本聲明書業經本公司上述同次董事會議通過，出席董事八人同意本聲明書之內容，併此聲明。\r\n17.會計師或證券承銷商對買回股份價格之合理性評估意見:\r\n元大證券股份有限公司出具評估意見，中台資源科技股份有限公司依其訂定買回價格區間執行買回股\r\n份，主要係造成現金流出，餘對該公司之財務結構、每股淨值、股東權益報酬率、流動比率及速動比\r\n率等雖有變動但對於該公司之財務狀況影響尚為合理。\r\n綜上評估，中台資源科技股份有限公司本次買回公司股份訂定之價格區間，其決策過程具合法性，價\r\n格區間之訂定及對公司財務之影響亦尚屬合理，尚無重大異常情事。\r\n18.其他證期局所規定之事項:\r\n不適用""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""中台""}, ""datetime"": ""115/04/17 16:11:59""}",2026-04-17 16:11:54
1150417|sii|8476|1,115/04/17,15:48:39,8476,台境*,公告本公司國內第二次無擔保轉換公司債收足應募價款,公司債,1150417,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""8476"", ""data"": [[1, ""115/04/17"", ""15:48:39"", ""龔信愷"", ""財務長"", ""(07)222-9115"", ""公告本公司國內第二次無擔保轉換公司債收足應募價款"", ""51"", ""115/04/17"", ""1.事實發生日:115/04/17\n2.公司名稱:台境企業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據「發行人募集與發行有價證券處理準則」第9條第1項第2款規定辦理公告\n ，本公司發行國內第二次無擔保轉換公司債至公告日止，代收價款銀行業已收足所有應\n 募款項並匯撥至存儲專戶銀行，共計新台幣250,000,000元整，特此公告。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台境*""}, ""datetime"": ""115/04/17 16:12:00""}",2026-04-17 16:11:54
1150416|otc|6246|1,115/04/16,18:06:36,6246,臺龍,公告本公司董事會決議撤銷民國一一四年度股東常會討論私募普通股案。,私募普通股,1150416,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6246"", ""data"": [[1, ""115/04/16"", ""18:06:36"", ""舒逸豪"", ""董事"", ""(02)22772828"", ""公告本公司董事會決議撤銷民國一一四年度股東常會\r\n討論私募普通股案。"", ""16"", ""115/04/16"", ""1.董事會決議變更日期:115/04/16\n2.原計畫申報生效日期:NA\n3.追補發行日期:NA\n4.變動原因:\n本公司經民國114年6月20日股東常會決議通過為改善財務結構及充實集團營運資金，\n辦理私募普通股案，依證券交易法第43-6條第7項規定，應於股東常會決議之日起1年\n期限屆滿前分三次辦理。\n本公司基於考量資金籌資時點之實際市場狀況及其時效性，至今仍未執行114年度私募\n普通股案，且因一年期限即將屆滿，為遵循法令規定，不再辦理該私募普通股案。\n5.歷次變更前後募集資金計畫:不適用。\n6.預計執行進度:不適用。\n7.預計完成日期:不適用。\n8.預計可能產生效益:不適用。\n9.與原預計效益產生之差異:不適用。\n10.本次變更對股東權益之影響:不適用。\n11.原主辦承銷商評估意見摘要:不適用。\n12.其他應敘明事項:無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""臺龍""}, ""datetime"": ""115/04/17 16:12:00""}",2026-04-17 16:11:54
1150411|otc|5701|1,115/04/17,13:58:26,5701,劍湖山,公告本公司115年03月份自結合併財務報告之負債比率、流動比率及速動比率。,自結合併,1150411,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""5701"", ""data"": [[1, ""115/04/17"", ""13:58:26"", ""曾慶欑"", ""總經理"", ""05-5825789"", ""公告本公司115年03月份自結合併\r\n財務報告之負債比率、流動比率及速\r\n動比率。"", ""53"", ""115/04/17"", ""1.事實發生日:115/04/17\n2.發生緣由:依財團法人中華民國證券櫃檯買賣中心106/12/7證櫃監字第1060201307號\n函辦理\n3.財務資訊年度月份:115/03\n4.自結流動比率:9.05%\n5.自結速動比率:7.17%\n6.自結負債比率:78.97%\n7.因應措施:於公開資訊觀測站公告相關資訊。\n8.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""劍湖山""}, ""datetime"": ""115/04/17 16:12:01""}",2026-04-17 16:11:54
1150414|otc|6182|1,115/04/17,14:39:31,6182,合晶,本公司擬變更國內第八次無擔保轉換公司債發行及轉換辦法之債權人異議期間屆滿公告,公司債,1150414,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6182"", ""data"": [[1, ""115/04/17"", ""14:39:31"", ""張憲元"", ""總經理"", ""(03)4815001"", ""本公司擬變更國內第八次無擔保轉換公司債發行及轉換辦法\r\n之債權人異議期間屆滿公告"", ""53"", ""115/04/17"", ""1.事實發生日:115/04/17\n2.公司名稱:合晶科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依本公司115年3月13日修訂「國內第八次無擔保轉換公司債\n發行及轉換辦法部分」之債權人公告，訂定債權人異議期間自115年3月\n16日至115年4月16日止。\n6.因應措施:\n(1)截至115年4月16日止，債權人異議期間已屆滿三十日，且無債權人提出異議聲明。\n(2)本公司將依照公司法第248條第4項規定，將修訂後「國內第八次無擔保轉換公司\n債發行及轉換辦法」呈奉證券主管機管申報核准。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""合晶""}, ""datetime"": ""115/04/17 16:12:02""}",2026-04-17 16:11:54
1150417|otc|6143|1,115/04/17,15:08:05,6143,振曜,公告本公司董事會決議114年股東常會通過之私募現金增資發行普通股案不再繼續辦理,現金增資,1150417,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6143"", ""data"": [[1, ""115/04/17"", ""15:08:05"", ""黃子瑋"", ""副總經理"", ""(03)5535565"", ""公告本公司董事會決議114年股東常會通過之私募現金增資\r\n發行普通股案不再繼續辦理"", ""16"", ""115/04/17"", ""1.董事會決議變更日期:115/04/17\n2.原計畫申報生效日期:NA\n3.追補發行日期:不適用\n4.變動原因:\n(1)本公司經114年06月13日股東常會決議通過，以私募方式辦理現金增資發行普通股\n   預計不超過10,000,000股，每股面額新台幣10元，授權董事會於股東會決議日起\n   一年內分次(最多分二次)辦理\n(2)上述私募現金增資發行普通股案尚未辦理發行，且於發行期限屆滿前亦無辦理之\n   計畫，經115年04月17日董事會決議不再繼續辦理\n5.歷次變更前後募集資金計畫:不適用\n6.預計執行進度:不適用\n7.預計完成日期:不適用\n8.預計可能產生效益:不適用\n9.與原預計效益產生之差異:不適用\n10.本次變更對股東權益之影響:不適用\n11.原主辦承銷商評估意見摘要:不適用\n12.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""振曜""}, ""datetime"": ""115/04/17 16:12:03""}",2026-04-17 16:11:54
1150417|otc|6469|1,115/04/17,15:58:47,6469,大樹,公告本公司董事會決議不繼續辦理114年股東常會通過之私募普通股及或私募國內無擔保可轉換公司債案,私募普通股|公司債,1150417,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6469"", ""data"": [[1, ""115/04/17"", ""15:58:47"", ""盧山峰"", ""副總經理"", ""03-4333123"", ""公告本公司董事會決議不繼續辦理114年股東常會通過\r\n之私募普通股及或私募國內無擔保可轉換公司債案"", ""16"", ""115/04/17"", ""1.董事會決議變更日期:115/04/17\n2.原計畫申報生效日期:NA\n3.追補發行日期:不適用\n4.變動原因:\n一、本公司於114年股東常會通過於普通股不超過2,500萬股額度內，授權董事會辦理\n    私募普通股及/或私募國內無擔保可轉換公司債案。\n二、依據證券交易法第43條之6規定，應於股東會決議之日起一年內或一次或分次辦\n    理。\n三、上述私募未於115年股東常會前一日內完成辦理之額度，自115年股東常會開會之\n    日起取消。\n5.歷次變更前後募集資金計畫:不適用\n6.預計執行進度:不適用\n7.預計完成日期:不適用\n8.預計可能產生效益:不適用\n9.與原預計效益產生之差異:不適用\n10.本次變更對股東權益之影響:不適用\n11.原主辦承銷商評估意見摘要:不適用\n12.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""大樹""}, ""datetime"": ""115/04/17 16:12:04""}",2026-04-17 16:11:54
1150416|rotc|7794|1,115/04/16,20:13:37,7794,宏碁智新,公告本公司股票初次上櫃前現金增資收足股款暨現金增資基準日,現金增資,1150416,rotc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""7794"", ""data"": [[1, ""115/04/16"", ""20:13:37"", ""高國書"", ""總經理"", ""02-26963131"", ""公告本公司股票初次上櫃前現金增資收足股款暨現金增資基準日"", ""44"", ""115/04/16"", ""1.事實發生日:115/04/16\n2.公司名稱:宏碁智新股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:發生緣由:依據「發行人募集與發行有價證券處理準則」第9條第1項第2款。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):\n(1)本公司辦理股票初次上櫃前現金增資發行普通股3,000,000股，競價拍賣最低承\n銷價格為每股新台幣28.97元，依投標價格高者優先得標，每一得標人應依其得標價格\n認購，各得標單之價格及其數量加權平均價格新台幣37.11元，公開申購承銷價格為\n每股新台幣31元，總計新台幣105,471,890元業已全數收足。\n(2)現金增資基準日：115年04月16日。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""宏碁智新""}, ""datetime"": ""115/04/17 16:12:05""}",2026-04-17 16:11:54
