key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150319|rotc|7794|1,115/03/19,18:17:13,7794,宏碁智新,公告本公司115年3月10日董事會決議辦理現金增資發行新股作為股票上櫃前之公開承銷,現金增資,1150319,rotc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""7794"", ""data"": [[1, ""115/03/19"", ""18:17:13"", ""高國書"", ""總經理"", ""02-26963131"", ""公告本公司115年3月10日董事會決議辦理現金增資發行新股作為\r\n股票上櫃前之公開承銷"", ""9"", ""115/03/10"", ""1.董事會決議日期:115/03/10\n2.增資資金來源:現金增資發行新股。\n3.發行股數(如屬盈餘或公積轉增資，則不含配發給員工部分):3,000,000股。\n4.每股面額:新臺幣10元。\n5.發行總金額:新臺幣30,000,000元。\n6.發行價格:發行價格暫定為每股新臺幣31元溢價發行，實際發行價格授權董事長\n          考量當時市場狀況，並依相關證券法令與主辦證券承銷商共同議定之。\n7.員工認購股數或配發金額:450,000股。\n8.公開銷售股數:2,550,000股。\n9.原股東認購或無償配發比例(請註明暫定每仟股認購或配發股數):\n本次現金增資依公司法267條規定保留發行股數之15％，計450,000股由本公司\n員工認購，其餘2,550,000股，依本公司115年03月10日董事會之決議，由原\n股東全數放棄優先認購權，全數提撥辦理上櫃前之公開承銷，不受公司法第267\n條關於原股東優先分認之規定。\n10.畸零股及逾期未認購股份之處理方式:\n員工認購不足或放棄認購部份，授權董事長洽特定人認購之；對外公開承銷認購不\n足部份，依「中華民國證券商業同業公會證券商承銷或再行銷售有價證券處理辦法」\n規定辦理。\n11.本次發行新股之權利義務:與已發行普通股股份相同。\n12.本次增資資金用途:充實營運資金。\n13.其他應敘明事項:\n(1)本次增資發行新股所訂之發行股份、發行價格、發行條件、計劃項目、募集金額\n   及其他有關事項，如因法令規定或主管機關核定，及基於營運評估或因應客觀環\n   境需求予以修正變更時，擬提請董事會授權董事長全權處理。\n(2)本次現金增資待主管機關申報生效後發行之，並授權董事長決定員工繳款期間、\n   增資基準日及認股發放日等發行新股相關事宜。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""宏碁智新""}, ""datetime"": ""115/03/20 06:58:36""}",2026-03-20 06:58:35
1150319|rotc|7824|1,115/03/19,19:17:35,7824,智寶,公告本公司115年第一次現金增資收足股款暨增資基準日,現金增資,1150319,rotc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""7824"", ""data"": [[1, ""115/03/19"", ""19:17:35"", ""洪佳吟"", ""行銷長"", ""(02)2321-1600"", ""公告本公司115年第一次現金增資收足股款暨增資基準日"", ""44"", ""115/03/19"", ""1.事實發生日:115/03/19\n2.公司名稱:智寶國際開發股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據「發行人募集與發行有價證券處理準則」規定辦理公告\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):\n(1)本公司115年第一次現金增資發行普通股3,000,000股，每股發行價格新台幣50元，\n    實收股款總額新台幣150,000,000元，業已全數收足。\n(2)本公司訂定115年03月20日為本次現金增資基準日。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""智寶""}, ""datetime"": ""115/03/20 06:58:37""}",2026-03-20 06:58:35
1150318|rotc|6473|1,115/03/19,20:06:51,6473,美賣*,公告本公司董事會決議不繼續辦理114年度股東會通過以現金增資方式辦理之私募普通股案,私募普通股|現金增資,1150318,rotc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""6473"", ""data"": [[1, ""115/03/19"", ""20:06:51"", ""馮世文"", ""資深副總經理"", ""02-29126473"", ""公告本公司董事會決議不繼續辦理114年度股東會通過\r\n以現金增資方式辦理之私募普通股案"", ""14"", ""115/03/19"", ""1.董事會決議變更日期:115/03/19\n2.原計畫申報生效之日期:NA\n3.變動原因:\n(1)緣本公司經114年6月10日股東常會決議通過，於12,000,000股額度內以現金增資方式\n辦理私募普通股案，且授權董事會自114年股東常會決議之日起一年內分四次辦理。\n(2)因應本公司114年私募普通股案即將屆期，擬不繼續辦理私募事宜。\n4.歷次變更前後募集資金計畫:不適用。\n5.預計執行進度:不適用。\n6.預計完成日期:不適用。\n7.預計可能產生效益:不適用。\n8.與原預計效益產生之差異:不適用。\n9.本次變更對股東權益之影響:不適用。\n10.原主辦承銷商評估意見摘要:不適用。\n11.其他應敘明事項:\n本案經董事會決議通過後提請115年股東常會報告""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""美賣*""}, ""datetime"": ""115/03/20 06:58:38""}",2026-03-20 06:58:35
