key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150312|sii|3032|6,115/03/12,17:30:29,3032,偉訓,代重要子公司上海珀韻電子科技有限公司公告現金增資事宜,現金增資,1150312,sii,6,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3032"", ""data"": [[6, ""115/03/12"", ""17:30:29"", ""李家慶"", ""總經理"", ""06-3560606"", ""代重要子公司上海珀韻電子科技有限公司公告現金增資事宜"", ""11"", ""115/03/12"", ""1.董事會決議日期:115/03/12\n2.增資資金來源:現金增資\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n人民幣8,000萬元\n5.採總括申報發行新股案件，本次發行金額及股數:不適用。\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用。\n7.每股面額:不適用。\n8.發行價格:不適用。\n9.員工認購股數或配發金額:不適用。\n10.公開銷售股數:不適用。\n11.原股東認購或無償配發比例:不適用。\n12.畸零股及逾期未認購股份之處理方式:不適用。\n13.本次發行新股之權利義務:不適用。\n14.本次增資資金用途:充實營運資金。\n15.其他應敘明事項:無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""偉訓""}, ""datetime"": ""115/03/13 22:03:22""}",2026-03-13 22:03:17
1150312|sii|2376|1,115/03/12,17:33:09,2376,技嘉,董事會決議辦理現金增資發行普通股參與發行海外存託憑證,現金增資,1150312,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2376"", ""data"": [[1, ""115/03/12"", ""17:33:09"", ""劉文忠"", ""協理"", ""89124000"", ""董事會決議辦理現金增資發行普通股參與發行海外存託憑證"", ""11"", ""115/03/12"", ""1.董事會決議日期:115/03/12\n2.增資資金來源:辦理現金增資發行普通股參與發行海外存託憑證\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n(1)發行總金額：未定\n(2)發行股數：\n 擬提請股東會授權董事會，於普通股不超過50,000仟股\n5.採總括申報發行新股案件，本次發行金額及股數:不適用\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用\n7.每股面額:新台幣10元\n8.發行價格:未定\n9.員工認購股數或配發金額:發行股數之10%\n10.公開銷售股數:未定\n11.原股東認購或無償配發比例:\n辦理現金增資發行普通股參與發行海外存託憑證\n除依法保留發行股份總數10%由本公司員工認購外，\n其餘90%擬依證券交易法第28條之1之規定，提請股\n東會同意由原股東放棄優先認購權利，全數提\n撥以參與海外存託憑證方式對外公開發行。\n12.畸零股及逾期未認購股份之處理方式:\n員工認購不足之部分，授權董事長洽特定人認購或\n列入參與發行海外存託憑證之原有價證券。\n13.本次發行新股之權利義務:與原有普通股股份相同。\n14.本次增資資金用途:募集本公司未來發展所需資金\n15.其他應敘明事項:\n(1)本次現金增資發行普通股參與發行海外存託憑證計畫之主要內容，包括發行價格\n    實際發行價格、股數、發行條件、計畫項目、預計進度及預計可能產生之效益\n    等相關事項，及其他一切有關發行計畫之事項，授權董事會得視市場狀況調整\n    、訂定與辦理；未來如因主管機關核定或基於營運評估或或因客觀環境需要變\n    更時，授權董事會全權處理。\n(2)擬授權董事長或其指定之人代表本公司辦理一切有關現金增資發行普通股參與\n   發行海外存託憑證文件及辦理相關事宜。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""技嘉""}, ""datetime"": ""115/03/13 22:03:23""}",2026-03-13 22:03:17
1150312|sii|2376|6,115/03/12,17:35:27,2376,技嘉,代重要子公司技鋼科技公告董事會決議為配合子公司技宸股份有限公司(以下簡稱「技宸公司」)股票上櫃計畫，本公司得辦理對技宸公司釋股作業暨放棄參與其現金增資計劃案,現金增資,1150312,sii,6,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2376"", ""data"": [[6, ""115/03/12"", ""17:35:27"", ""劉文忠"", ""協理"", ""89124000"", ""代重要子公司技鋼科技公告董事會決議為配合子公司技宸股\r\n份有限公司(以下簡稱「技宸公司」)股票上櫃計畫，本公司得辦\r\n理對技宸公司釋股作業暨放棄參與其現金增資計劃案"", ""51"", ""115/03/12"", ""1.事實發生日:115/03/12\n2.公司名稱:技鋼科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):子公司\n4.相互持股比例:不適用\n5.發生緣由:\n未來技宸公司申請登錄興櫃或上櫃相關作業所需釋股，本公司應依相關法令及上櫃相關\n規範提撥股票供證券承銷商認購及辦理過額配售等作業程序，提撥股數與價格除依前述\n相關規定辦理外，依當時市場狀況以及技宸公司營運情形與證券承銷商共同議定之。\n1.依法令提撥持有股份供興櫃推薦證券商認購或配合初次上櫃前現金增資辦理過額\n配售案\n  (1)因應技宸公司未來申請股票登錄興櫃市場買賣及配合初次上櫃前現金增資辦理過額\n     配售，本公司為技宸公司最大股東擬依財團法人中華民國證券櫃檯買賣中心證券商\n     營業處所買賣興櫃股票審查準則第八條規定，配合提撥股份供輔導推薦證券商認購\n     ，及配合初次上櫃辦理穩定掛牌初期的價格機制提供已發行普通股股票供主辦承銷\n     商辦理過額配售。\n  (2)實際提撥股份與認購價格，則視當時整體經濟狀況、市場產業情況與技宸公司經營\n     績效等情形，與輔導推薦證券商另行議定。\n2.上櫃前現金增資案\n  技宸公司如依證券交易法第28條之1與相關法令規定，於辦理上櫃前現金增資時，除依\n  法保留現金增資股數10-15%由技宸公司及符合一定條件之控制或從屬公司之員工認購\n  外，應全數委託證券承銷商辦理上櫃前公開銷售。\n6.因應措施:上述釋股作業及放棄認購現金增資之作業原則，擬提請股東會討論。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""技嘉""}, ""datetime"": ""115/03/13 22:03:25""}",2026-03-13 22:03:17
1150312|sii|2376|8,115/03/12,17:35:53,2376,技嘉,公告本公司發行海外第五次無擔保轉換公司債，向金管會申請延長募集期間,公司債,1150312,sii,8,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2376"", ""data"": [[8, ""115/03/12"", ""17:35:53"", ""劉文忠"", ""協理"", ""89124000"", ""公告本公司發行海外第五次無擔保轉換公司債，\r\n向金管會申請延長募集期間"", ""51"", ""115/03/12"", ""1.事實發生日:115/03/12\n2.公司名稱:技嘉科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:因近期國際金融市場劇烈波動，為尋求最佳發行時機並維護股東權益，依\n據「發行人募集與發行海外有價證券處理準則」第10條規定，申請延長募集期限3個月。\n6.因應措施:向金管會申請延長募集期間三個月，以尋求最適發行時點，維護公司整體利\n益及股東權益。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""技嘉""}, ""datetime"": ""115/03/13 22:03:27""}",2026-03-13 22:03:17
1150312|sii|6117|3,115/03/12,17:37:24,6117,迎廣,公告本公司國內第一次無擔保轉換公司債114年第4季轉換普通股之發行新股基準日,公司債,1150312,sii,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6117"", ""data"": [[3, ""115/03/12"", ""17:37:24"", ""康博興"", ""特助"", ""(03)3229898#1226"", ""公告本公司國內第一次無擔保轉換公司債114年第4季\r\n轉換普通股之發行新股基準日"", ""11"", ""115/03/12"", ""1.董事會決議日期:115/03/12\n2.增資資金來源:國內第一次無擔保轉換公司債。\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否。\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n 發行總金額：新台幣24,390元;發行股數：2,439股。\n5.採總括申報發行新股案件，本次發行金額及股數:不適用。\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用。\n7.每股面額:新台幣10元。\n8.發行價格:不適用。\n9.員工認購股數或配發金額:不適用。\n10.公開銷售股數:不適用。\n11.原股東認購或無償配發比例:不適用。\n12.畸零股及逾期未認購股份之處理方式:不適用。\n13.本次發行新股之權利義務:與原發行普通股股份相同。\n14.本次增資資金用途:不適用。\n15.其他應敘明事項:\n (1)本次公司債轉換普通股之發行新股基準日為115年03月12日，並依法令規定辦理\n    變更登記事宜。\n (2)增資前實收資本額：新台幣925,429,690元，\n    增資後實收資本額：新台幣925,454,080元。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""迎廣""}, ""datetime"": ""115/03/13 22:03:28""}",2026-03-13 22:03:17
1150312|sii|2530|1,115/03/12,17:48:15,2530,華建,公告本公司董事會通過114年度自結合併財務資訊,自結合併,1150312,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2530"", ""data"": [[1, ""115/03/12"", ""17:48:15"", ""李俊賢"", ""副總經理"", ""022632-8877"", ""公告本公司董事會通過114年度自結合併財務資訊"", ""31"", ""115/03/12"", ""1.提報董事會或經董事會決議日期:115/03/12\n2.審計委員會通過日期:不適用\n3.財務報告或年度自結財務資訊報導期間\n起訖日期(XXX/XX/XX~XXX/XX/XX):114/01/01~114/12/31\n4.1月1日累計至本期止營業收入(仟元):6,339,127\n5.1月1日累計至本期止營業毛利(毛損) (仟元):2,596,204\n6.1月1日累計至本期止營業利益(損失) (仟元):2,150,295\n7.1月1日累計至本期止稅前淨利(淨損) (仟元):2,127,860\n8.1月1日累計至本期止本期淨利(淨損) (仟元):1,693,882\n9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):1,701,353\n10.1月1日累計至本期止基本每股盈餘(損失) (元):2.03\n11.期末總資產(仟元):30,697,775\n12.期末總負債(仟元):20,393,689\n13.期末歸屬於母公司業主之權益(仟元):10,085,747\n14.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""華建""}, ""datetime"": ""115/03/13 22:03:31""}",2026-03-13 22:03:17
1150312|sii|6141|1,115/03/12,17:53:47,6141,柏承,公告本公司董事會通過114年度自結合併財務報告,自結合併,1150312,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6141"", ""data"": [[1, ""115/03/12"", ""17:53:47"", ""張美齡"", ""總經理特助"", ""(02)2737-5351"", ""公告本公司董事會通過114年度自結合併財務報告"", ""31"", ""115/03/12"", ""1.提報董事會或經董事會決議日期:115/03/12\n2.審計委員會通過日期:115/03/12\n3.財務報告或年度自結財務資訊報導期間\n起訖日期(XXX/XX/XX~XXX/XX/XX):114/01/01~114/12/31\n4.1月1日累計至本期止營業收入(仟元):1,794,200\n5.1月1日累計至本期止營業毛利(毛損) (仟元):174,917\n6.1月1日累計至本期止營業利益(損失) (仟元):(186,484)\n7.1月1日累計至本期止稅前淨利(淨損) (仟元):(502,096)\n8.1月1日累計至本期止本期淨利(淨損) (仟元):(542,900)\n9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):(432,144)\n10.1月1日累計至本期止基本每股盈餘(損失) (元):(3.81)\n11.期末總資產(仟元):5,432,572\n12.期末總負債(仟元):4,673,428\n13.期末歸屬於母公司業主之權益(仟元):765,317\n14.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""柏承""}, ""datetime"": ""115/03/13 22:03:35""}",2026-03-13 22:03:17
1150311|sii|6165|4,115/03/12,17:57:56,6165,浪凡,公告本公司董事會決議114年度股東常會通過之私募發行普通股及國內有擔保可轉換公司債，於剩餘期間內擬不予辦理。,公司債,1150311,sii,4,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6165"", ""data"": [[4, ""115/03/12"", ""17:57:56"", ""王亦衡"", ""董事長"", ""(02)2731-0868"", ""公告本公司董事會決議114年度股東常會通過之私募發行\r\n普通股及國內有擔保可轉換公司債，於剩餘期間內擬不予辦理。"", ""16"", ""115/03/12"", ""1.董事會決議變更日期:115/03/12\n2.原計畫申報生效之日期:不適用\n3.追補發行之日期:不適用\n4.變動原因:\n  本公司於114年6月20日股東常會通過授權董事會辦理私募普通股及國內有擔保可轉換\n  公司債，因相關計畫尚在規劃中，故未能完成執行，依私募相關規定報請董事會決議\n  通過不繼續辦理。\n5.歷次變更前後募集資金計畫:不適用\n6.預計執行進度:不適用\n7.預計完成日期:不適用\n8.預計可能產生效益:不適用\n9.與原預計效益產生之差異:不適用\n10.本次變更對股東權益之影響:不適用\n11.原主辦承銷商評估意見摘要:不適用\n12.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""浪凡""}, ""datetime"": ""115/03/13 22:03:38""}",2026-03-13 22:03:17
1150311|sii|6165|5,115/03/12,17:58:41,6165,浪凡,公告本公司董事會決議辦理私募普通股,私募普通股,1150311,sii,5,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6165"", ""data"": [[5, ""115/03/12"", ""17:58:41"", ""王亦衡"", ""董事長"", ""(02)2731-0868"", ""公告本公司董事會決議辦理私募普通股"", ""11"", ""115/03/12"", ""1.董事會決議日期:115/03/12\n2.私募有價證券種類:普通股\n3.私募對象及其與公司間關係:\n(1)本次私募之應募人以符合「證券交易法」第43條之6及「公開發行公\n   司辦理私募有價證券應注意事項」所規定策略性投資人為限，截至\n   目前尚無已洽定之應募人。\n(2)策略性投資人，其選擇方式與目的、必要性及預計效益：\n   <1>選擇方式與目的：應募人之選擇為可協助本公司營運所需之各項\n      管理及財務資源，提供經營管理技術、加強財務成本管理、協助\n      業務開發及拓展，以提升公司競爭優勢。\n   <2>必要性：因應本公司長期營運規劃之目的，以提升營運績效及強\n      化財務結構，並考量強化經營階層穩定性。本次私募引進策略性\n      投資人資金將有助於公司之經營及業務發展，並可改善公司整體\n      營運體質及強化對公司之向心力，故本次私募引進策略性投資人\n      實有其必要性。\n   <3>預計效益：藉由策略性投資人資金挹注，可減少營運資金成本之\n      壓力並強化財務結構，提升公司競爭力，促使公司營運穩定成長\n      及有利於股東權益。\n4.私募股數或張數:擬發行20,000,000股為上限，並於股東會決議日起一\n  年內分2次辦理。\n5.得私募額度:視發行價格暨實際發行股數而定\n6.私募價格訂定之依據及合理性:\n(1)本公司私募普通股價格之訂定，以不低於參考價格之8成。參考價\n   格係以定價日前1、3或5個營業日擇一計算普通股收盤價簡單算數\n   平均數扣除無償配股除權及配息，並加回減資反除權後之股價，或\n   定價日前30個營業日普通股收盤價簡單算數平均數扣除無償配股除\n   權及配息，並加回減資反除權後之股價，二基準計算價格較高者定之。\n(2)本公司私募前述有價證券之實際定價日及實際私募價格，擬提請股\n   東會於不低於股東會決議成數範圍內授權董事會視日後洽定特定人\n   情形及市場狀況決定之。\n(3)本次私募普通股每股價格之定價乃依主管機關公布之法令定之，同時\n   考量證券交易法對私募有價證券有三年轉讓限制、公司經營績效、未\n   來展望、普通股市價及市場慣例而定，又本公司針對前述私募有價證\n   券之價格訂定依據均符合「公開發行公司辦理私募有價證券應注意事\n   項」之規定，尚不致有重大損害股東權益之情形，其訂定應屬合理。\n(4)本次私募普通股權利義務與本公司已發行之普通股相同。本次決議之\n   私募有價證券，其轉讓應受證券交易法第43條之8限制，又私募有價\n   證券自交付起滿3年後，擬請股東會授權董事會視當時狀況決定向主管\n   機關申請核發補辦公開發行同意函及向金管會申報補辦公開發行。\n(5)若日後受證券市場變化因素影響，致訂定之每股發行之實際價格低於\n   股票面額時，因已依據法令規範之定價依據辦理且已反映市場價格狀\n   況，係為順利募得資金，有利公司長遠穩定成長之必要，其價格之訂\n   定，應屬必要及合理。若有每股價格低於面額之情形者造成累積虧損\n   增加對股東權益產生影響，將於未來年度股東會時依年度營業結果由\n   股東評估並討論應否減資或其他法定方式彌補虧損。\n7.本次私募資金用途:改善並強化公司財務結構、提升公司自有資本之比率\n  與提升本公司未來營運績效。\n8.不採用公開募集之理由:為充實營運資金、償還借款、轉投資或其他因應\n  公司長期營運發展資金之需求，考量私募方式相對具迅速簡便之時效性\n  及私募有價證券受限於三年內不得自由轉讓之規定，將可更為確保公司\n  與投資夥伴間之長期合作關係，故不採用公開募集而擬以私募方式發行　\n  有價證券。本計畫之執行預計有改善財務結構及提升營運效能之效益，\n  對股東權益亦將有正面助益。\n9.獨立董事反對或保留意見:無\n10.實際定價日:尚未訂定\n11.參考價格:尚未訂定\n12.實際私募價格、轉換或認購價格:尚未訂定\n13.本次私募新股之權利義務:本次私募普通股權利義務與本公司已發行之普\n   通股相同。本次決議之私募有價證券，其轉讓應受證券交易法第43條之8\n   限制，又私募有價證券自交付起滿3年後，擬請股東會授權董事會視當時\n   狀況決定向主管機關申請補辦公開發行及申請上市交易。\n14.附有轉換、交換或認股者，其換股基準日:不適用\n15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用\n16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對\n上市普通股股權比率之可能影響（上市普通股數A、A/已發行普通股):不適用\n17.前項預計上市普通股未達6000萬股且未達25%者，請說明股權流通性偏低之因應措施:\n   不適用\n18.其他應敘明事項:\n(1)除私募價格訂價成數外，包括實際發行條件、發行價格、發行股數、募集總金額、\n   計劃項目、資金運用進度、預計可能產生效益及其他未盡事宜，擬提請股東會授權\n   董事會於股東會授權範圍內視市場狀況調整、訂定與辦理。未來如經主管機關之修\n   正及基於營運評估或因客觀環境變化而有所修正時，擬提請股東會授權董事會依當\n   時市場狀況及法令規定全權處理之。\n(2)本次辦理私募2仟萬股為上限之普通股，應募人之選定方式以對公司未來之營運能\n   產生直接或間接助益者為首要考量，經本公司評估引進策略性投資人後不致造成\n   經營權發生重大變動。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""浪凡""}, ""datetime"": ""115/03/13 22:03:41""}",2026-03-13 22:03:17
1150309|sii|3231|1,115/03/12,17:59:24,3231,緯創,董事會決議辦理現金增資發行普通股參與發行海外存託憑證,現金增資,1150309,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3231"", ""data"": [[1, ""115/03/12"", ""17:59:24"", ""石慶堂"", ""財務長"", ""(02)6616-9999"", ""董事會決議辦理現金增資發行普通股參與發行海外存託憑證"", ""11"", ""115/03/12"", ""1.董事會決議日期:115/03/12\n2.增資資金來源:辦理現金增資發行普通股參與發行海外存託憑證\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n(1)發行總金額：未定\n(2)發行股數：\n   擬提請股東會授權董事會，於普通股不超過250,000仟股之額度內，視市場狀況及\n   本公司需求，擇適當時機及籌資工具，依相關法令及以下籌資方式之辦理原則，\n   擇一或以搭配之方式辦理現金增資發行普通股參與發行海外存託憑證及／或以\n   私募方式辦理現金增資發行普通股及／或以私募方式發行新股參與海外存託憑證\n5.採總括申報發行新股案件，本次發行金額及股數:不適用\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用\n7.每股面額:新台幣10元\n8.發行價格:未定\n9.員工認購股數或配發金額:發行股數之10%~15%\n10.公開銷售股數:未定\n11.原股東認購或無償配發比例:\n  除依法保留發行股份總數10%至15%由本公司員工認購外，其餘85%至90%擬依證券\n  交易法第28條之1之規定，提請股東會同意由原股東放棄優先認購權利，全數提\n  撥以參與海外存託憑證方式對外公開發行。\n12.畸零股及逾期未認購股份之處理方式:\n  員工認購不足或未能全數認購部份，擬授權董事長得視市場需要列入參與發行　\n  海外存託憑證之原有價證券。\n13.本次發行新股之權利義務:與原有普通股股份相同。\n14.本次增資資金用途:本次所募集之資金預計用於海外購料或充實營運資金或償還銀\n  行借款或其他因應本公司未來發展之資金需求\n15.其他應敘明事項:\n  (1)本次現金增資發行普通股參與發行海外存託憑證、私募發行普通股或私募發行\n     新股參與海外存託憑證，其發行計畫之主要內容，包括實際發行價格、股數、\n     發行條件、私募金額、增資基準日、計畫項目、預計進度及預計可能產生之效\n     益等相關事項，暨其他一切有關發行計畫之事項，擬提請股東會授權董事會得\n     視市場狀況調整、訂定與辦理，未來如因主管機關指示修正或基於營運評估或\n     因客觀環境需要變更時，亦授權董事會全權處理之。\n  (2)擬授權董事長或其指定之人代表本公司辦理一切有關現金增資發行普通股參與\n     發行海外存託憑證、私募發行普通股或私募發行新股參與海外存託憑證之相關\n     事宜並簽署相關契約及文件。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""緯創""}, ""datetime"": ""115/03/13 22:03:42""}",2026-03-13 22:03:17
