key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150625|sii|3041|1,115/06/25,17:49:10,3041,揚智,公告本公司董事會決議114年第一次私募普通股定價及應募人資訊,私募普通股,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3041"", ""data"": [[1, ""115/06/25"", ""17:49:10"", ""連建欽"", ""總經理"", ""(02)8752-2000"", ""公告本公司董事會決議114年第一次私募普通股定價及應募人資訊"", ""11"", ""115/06/25"", ""1.董事會決議日期:115/06/25\n2.私募有價證券種類:普通股\n3.私募對象及其與公司間關係:\n(1)本次私募對象以符合證券交易法第43條之6及金管證\n發字第1120383220號令之規定擇定特定人，並以策略性\n投資人為限。\n\n(2)已洽定之應募人:\n應募人名稱             與本公司之關係     預計本次私募增資\n                                            認購股數\n--------------------- ----------------  ------------------\n宇全智聯股份有限公司     本公司持股10%        1,873,000\n                        以上大股東\n(3)法人應募人之股東持股比例佔前十名之股東與本公司之關係:\n\n    主要股東名稱              持股比例      與本公司之關係\n------------------------- ---------------- ----------------\n 光聚晶電聯合股份有限公司      83.78%       本公司持股10%以\n                                           上大股東之股東\n  光譜電工股份有限公司         16.22%       本公司之關係企業\n4.私募股數或張數:1,873,000股之普通股\n5.得私募額度:於不超過新台幣10億元額度內辦理。\n6.私募價格訂定之依據及合理性:\n(1)本次私募普通股之參考價格依定價日前1、3或5個營業日擇一\n計算普通股收盤價簡單算術平均數扣除無償配股除權及配息，並\n加回減資反除權後之股價，或定價日前30個營業日普通股收盤價\n簡單算數平均數扣除無償配股除權及配息，並加回減資反除權後\n之股價，二基準計算價格較高者定之。實際私募價格不得低於參\n考價格之八成。\n(2)定價日前一、三或五個營業日擇一計算普通股收盤價簡單算數\n平均數扣除無償配股除權及配息，並加回減資反除權後分別為\n『30.85』元、『31.00』元、『30.03』元。\n(3)定價日前三十個營業日普通股收盤價簡單算數平均數扣除無償\n配股除權及配息，並加回減資反除權後為『25.81』元。\n(4)擇前五個營業日計算價格『30.03』元及前三十個營業日計算價\n格『25.81』元，兩者取高者『30.03』元為本次私募之參考價格。\n(5)本次擬以每股發行價格『24.03』元辦理私募現金增資發行普通\n股1,873,000股，募得資金共計『45,008,190』元，發行價格為\n上述參考價格之80%，未低於參考價格之八成，尚在股東會決議之\n授權範圍內。\n7.本次私募資金用途:全數用以充實營運資金。\n8.不採用公開募集之理由:\n考量資本市場狀況、籌募資本之時效性、可行性、發行成本及引進\n策略性投資人之實際需求；而私募有價證券於一定期間內受轉讓限\n制之規定，可確保公司與策略性投資夥伴間之長期合作關係，故不\n採用公開募集而擬以私募方式發行有價證券。\n9.獨立董事反對或保留意見:無\n10.實際定價日:115/06/25\n11.參考價格:每股新台幣30.03元\n12.實際私募價格、轉換或認購價格:每股新台幣24.03元\n13.本次私募新股之權利義務:\n與本公司已發行之普通股相同，惟本次私募之普通股於本次交付日起三\n年內，除依證券交易法第43條之8規定外，不得自由轉讓。並於私募普\n通股交付日起滿三年後，擬授權董事會依相關法令規定向主管機關申報\n補辦公開發行並採帳簿劃撥交付，不印製實體方式申請上市交易。\n14.附有轉換、交換或認股者，其換股基準日:不適用。\n15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用。\n16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對\n上市普通股股權比率之可能影響（上市普通股數A、A/已發行普通股):不適用。\n17.前項預計上市普通股未達6000萬股且未達25%者，請說明股權流通性偏低之因應措施:\n不適用。\n18.其他應敘明事項:\n(1)董事會授權本次私募股款收足後，由董事長訂定增資基準日。\n(2)本次私募現金增資發行普通股與股份認購合約文字修訂等相關未盡事宜、如因客觀\n環境需要或主管機關要求而須修正或調整時，擬授權董事長全權處理之。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""揚智""}, ""datetime"": ""115/06/26 18:50:35""}",2026-06-26 18:50:31
1150625|sii|3041|2,115/06/25,17:49:39,3041,揚智,公告本公司114年第一次私募普通股收足股款暨增資基準日,私募普通股,1150625,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3041"", ""data"": [[2, ""115/06/25"", ""17:49:39"", ""連建欽"", ""總經理"", ""(02)8752-2000"", ""公告本公司114年第一次私募普通股收足股款\r\n暨增資基準日"", ""51"", ""115/06/25"", ""1.事實發生日:115/06/25\n2.公司名稱:揚智科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n(1)依本公司114年06月30日股東常會決議通過在不超過新台幣10億元額度內辦理。\n(2)本次私募普通股1,873,000股，實際私募價格為每股新台幣24.03元，總金額\n   為新台幣45,008,190元，已於115年06月25日收足股款。\n(3)本次私募增資基準日:115年06月25日。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n本次私募普通股相關事宜，請至公開資訊觀測站私募專區查詢。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""揚智""}, ""datetime"": ""115/06/26 18:50:36""}",2026-06-26 18:50:31
1150625|sii|7610|1,115/06/25,18:01:22,7610,聯友金屬-創,公告本公司申請延長現金增資募集期間，業經金管會核准,現金增資,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""7610"", ""data"": [[1, ""115/06/25"", ""18:01:22"", ""廖佩芬"", ""財務長"", ""08-8661018"", ""公告本公司申請延長現金增資募集期間，業經金管會核准"", ""51"", ""115/06/25"", ""1.事實發生日:115/06/25\n2.公司名稱:聯友金屬科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n(1)本公司申報募集與發行現金增資普通股2,000,000股，每股面額10元，\n總額新臺幣20,000,000元，業經金融監督管理委員會115年4月30日金管證\n發字第1150340563號函申報生效在案。\n(2)茲因考量營運整體規劃及因應客觀環境變化，為提昇本次計畫募集完成之\n可行性與定價時機之彈性，以維護股東與投資人雙方最大之權益，故向金融監\n督管理委員會申請延長募集期間三個月，展延至115年10月29日以前募集完成。\n(3)上述申請延長現金增資募集期間乙案，業經金融監督管理委員會115年06月\n25日金管證發字第1150141055號函准予備查。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""聯友金屬-創""}, ""datetime"": ""115/06/26 18:50:37""}",2026-06-26 18:50:31
1150625|sii|1589|1,115/06/25,18:40:52,1589,永冠-KY,公告本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠四KY，代碼：15894)訂於115年6月29日終止櫃檯買賣,公司債,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1589"", ""data"": [[1, ""115/06/25"", ""18:40:52"", ""蔡樹根"", ""副董事長"", ""(02)2791-7198"", ""公告本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠\r\n四KY，代碼：15894)訂於115年6月29日終止櫃檯買賣"", ""51"", ""115/06/25"", ""1.事實發生日:115/06/25\n2.公司名稱:永冠能源科技集團有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n  依永冠四KY債券受託契約第13條第1款規定辦理。\n6.因應措施:\n  本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠四KY，代碼：15894)因經受\n  託人依債券受託契約第13條第1款視為立即到期，應如數清償本息，爰訂於115年6月\n  29日終止櫃檯買賣。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n  無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""永冠-KY""}, ""datetime"": ""115/06/26 18:50:38""}",2026-06-26 18:50:31
1150625|sii|3037|1,115/06/25,18:58:11,3037,欣興,本公司取得機器設備之相關資料,機器設備,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3037"", ""data"": [[1, ""115/06/25"", ""18:58:11"", ""鍾明峰"", ""財務處資深副總經理"", ""03-3500386-29592"", ""本公司取得機器設備之相關資料"", ""20"", ""115/06/25"", ""1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:\r\n機器設備\r\n2.事實發生日:114/7/3~115/6/25\r\n3.董事會通過日期: 不適用\r\n4.其他核決日期:\r\n核決層級:董事長核決\r\n民國115年06月25日\r\n5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:\r\n交易單位數量：一批；交易總金額：新台幣1,062,814,390元\r\n6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關\r\n係人者，得免揭露其姓名）:\r\nWINTAKE INTERNATIONAL LIMITED；非關係人\r\n7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之\r\n所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期\r\n及移轉金額:\r\n不適用\r\n8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係\r\n人之取得及處分日期、價格及交易當時與公司之關係:\r\n不適用\r\n9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明\r\n認列情形）:\r\n不適用\r\n10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定\r\n事項:\r\n依訂單條件付款，契約限制條款與其他重要約定事項：無\r\n11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及\r\n決策單位:\r\n交易決定方式:議價\n價格決定之參考依據:按市場行情\n決策單位:公司採購管理規定呈核決定\r\n12.專業估價者事務所或公司名稱及其估價金額:\r\n不適用\r\n13.專業估價師姓名:\r\n不適用\r\n14.專業估價師開業證書字號:\r\n不適用\r\n15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用\r\n16.是否尚未取得估價報告:否或不適用\r\n17.尚未取得估價報告之原因:\r\n不適用\r\n18.估價結果有重大差異時，其差異原因及會計師意見:\r\n不適用\r\n19.會計師事務所名稱:\r\n不適用\r\n20.會計師姓名:\r\n不適用\r\n21.會計師開業證書字號:\r\n不適用\r\n22.經紀人及經紀費用:\r\n不適用\r\n23.取得或處分之具體目的或用途:\r\n供生產用\r\n24.本次交易表示異議之董事之意見:\r\n不適用\r\n25.本次交易為關係人交易:否\r\n26.監察人承認或審計委員會同意日期:\r\n不適用\r\n27.本次交易係向關係人取得不動產或其使用權資產:否\r\n28.依「公開發行公司取得或處分資產處理準則」第十六條規定\r\n評估之價格:不適用\r\n29.依前項評估之價格較交易價格為低者，依同準則第十七條規\r\n定評估之價格:不適用\r\n30.前已就同一件事件發布重大訊息日期: 不適用\r\n31.其他敘明事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""欣興""}, ""datetime"": ""115/06/26 18:50:39""}",2026-06-26 18:50:31
1150625|sii|4414|2,115/06/25,20:50:09,4414,如興,本公司董事會決議私募普通股訂價及相關事宜(更正本次私募資金用途),私募普通股,1150625,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""4414"", ""data"": [[2, ""115/06/25"", ""20:50:09"", ""許益瑞"", ""執行副總經理"", ""02-27513111"", ""本公司董事會決議私募普通股訂價及相關事宜(更正\r\n本次私募資金用途)"", ""11"", ""115/06/12"", ""1.董事會決議日期:115/06/12\n2.私募有價證券種類:普通股\n3.私募對象及其與公司間關係:依證券交易法第43條之6規定之對象。\n4.私募股數或張數:24,500,000股。\n5.得私募額度:\n在每股面額10元，擬於79,500,000股額度內辦理，\n將於股東會決議日起一年內分三次辦理。\n6.私募價格訂定之依據及合理性:\n本公司私募普通股價格之訂定，以不低於參考價格之8成。\n參考價格係以定價日前1、3或5個營業日擇一計算普通股收盤價簡單算術平均數扣除無\n償配股除權及配息，並加回減資反除權後之股價，或定價日前三十個營業日普通股收盤\n價簡單算術平均數扣除無償配股除權及配息，並加回減資反除權後之股價，二基準計算\n價格較高者定之。\n7.本次私募資金用途:充實營運資金、轉投資及償還借款等用途。(更正)\n8.不採用公開募集之理由:\n為充實營運週轉金、償還銀行借款及因應公司長期發展所需等多項用途，\n且考量私募作業具有迅速簡便的特性，較容易符合公司需要，故不採用公\n開募集而擬以私募方式發行有價證券。\n9.獨立董事反對或保留意見:無。\n10.實際定價日:115/06/12\n11.參考價格:8.87\n12.實際私募價格、轉換或認購價格:7.10\n13.本次私募新股之權利義務:\n與本公司已發行之普通股相同，惟本次私募新股轉讓之限制，\n依證券交易法相關規定於交付後三年內，除符合法令規定之特定情形\n外不得自由轉讓。\n14.附有轉換、交換或認股者，其換股基準日:不適用\n15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用\n16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對\n上市普通股股權比率之可能影響（上市普通股數A、A/已發行普通股):不適用\n17.前項預計上市普通股未達6000萬股且未達25%者，請說明股權流通性偏低之因應措施:\n不適用\n18.其他應敘明事項:\n(1)繳款期間：115年6月12日起至115年6月25日\n(2)增資基準日：115年6月25日\n(3)本次私募現金增資之實際辦理情形及其他未盡事宜等，若因法令修正或主管機關規\n   定及基於營運評估或客觀環境之影響須變更或修正時，授權董事長全權處理之。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""如興""}, ""datetime"": ""115/06/26 18:50:39""}",2026-06-26 18:50:31
1150625|sii|3661|1,115/06/26,00:18:00,3661,世芯-KY,公告本公司現金增資發行普通股參與發行海外存託憑證之發行條件,現金增資,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3661"", ""data"": [[1, ""115/06/26"", ""00:18:00"", ""王德善"", ""財務長"", ""02-26599357"", ""公告本公司現金增資發行普通股參與發行海外存託憑證之發行條件"", ""51"", ""115/06/25"", ""1.事實發生日:115/06/25\n2.公司名稱:英屬開曼群島商世芯電子股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:公告本公司現金增資發行普通股參與發行海外存託憑證完成訂價。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n本公司現金增資發行普通股參與發行海外存託憑證之發行條件:\n(1)發行總金額:510,040,000美元\n(2)單位發行價格:每單位127.51美元\n(3)單位發行總數:本次現金增資以發行總股數4,000,000股，參與發行海外存託憑證，\n計4,000,000單位海外存託憑證。\n(4)訂價日期:115年06月25日\n(5)預定發行日期:115年06月30日\n(6)每單位海外存託憑證表彰股數:1單位海外存託憑證表彰本公司普通股1股\n(7)每股價格:折合新台幣4,061元(以匯率美金:新台幣=1:31.848轉換)\n(8)發行及交易地點:上市地點: 盧森堡證券交易所\n(9)發行方式約定由特定人認購之情事：無。\n(10)資金運用計劃及預計可能產生效益：本次籌資將用於外幣購料。預計外幣購料\n每年可節省利息支出，並強化公司財務結構，進而提升公司未來營運之競爭力，\n對公司未來長期營運發展將有正面助益。\n(11)對股東權益之主要影響：\n本次辦理現金增資發行新股參與發行海外存託憑證計4,000,000股，對原股東股權\n稀釋比率約4.64%，為追求提升公司競爭力、國際知名度及推展企業形象，\n在公司長期發展情形下，對股東權益應具正面效益。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""世芯-KY""}, ""datetime"": ""115/06/26 18:50:40""}",2026-06-26 18:50:31
1150625|sii|6908|1,115/06/26,06:58:59,6908,宏碁遊戲-創,代子公司WinkingStudiosLimited公告庫藏股執行情形,庫藏股,1150625,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6908"", ""data"": [[1, ""115/06/26"", ""06:58:59"", ""徐挺洋"", ""總經理"", ""(02)26960068"", ""代子公司Winking Studios Limited公告庫藏股執行情形"", ""51"", ""115/06/25"", ""1.事實發生日:115/06/25\n2.公司名稱:Winking Studios Limited\n3.與公司關係(請輸入本公司或子公司):子公司\n4.相互持股比例:57.19%\n5.發生緣由:無\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n每日股票回購指示的生效日期: 2026/06/25\n授權購買的最大股份數量: 44,193,811\n透過市場收購方式進行的購買: 是\n購買日期: 2026/06/25\n購買股份總數: 50,500\n註銷股份數量:0\n庫存股數量: 353,000\n每股最高價格: SGD 0.21752\n每股最低價格: SGD 0.21752\n股份已支付或應付的總對價(包括印花稅、清算費用等): SGD 11,019.36\n截至目前累計購買股數: 353,000\n已發行股份數量(不包括購買後的庫存股): 441,585,118\n購買後持有的庫存股數量: 353,000""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""宏碁遊戲-創""}, ""datetime"": ""115/06/26 18:50:41""}",2026-06-26 18:50:31
1150626|sii|4190|1,115/06/26,14:20:03,4190,佐登-KY,公告本公司中華民國境內第四次有擔保轉換公司債收足債款,公司債,1150626,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""4190"", ""data"": [[1, ""115/06/26"", ""14:20:03"", ""陳佳琦"", ""集團總經理"", ""04-22922999"", ""公告本公司中華民國境內第四次有擔保轉換公司債收足債款"", ""51"", ""115/06/26"", ""1.事實發生日:115/06/26\n2.公司名稱:佐登妮絲集團股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n依據「外國發行人募集與發行有價證券處理準則」第十條第一項第一款規定辦理，\n本公司發行中華民國境內第四次有擔保轉換公司債案，債款代收銀行業已收足所有\n應募款項共計新台幣506,528,720元整，並已匯撥至專戶存儲銀行，特此公告。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""佐登-KY""}, ""datetime"": ""115/06/26 18:50:46""}",2026-06-26 18:50:31
1150626|sii|6890|1,115/06/26,14:25:16,6890,來億-KY,公告本公司國內第一次無擔保轉換公司債轉換價格調整,公司債,1150626,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6890"", ""data"": [[1, ""115/06/26"", ""14:25:16"", ""許松竹"", ""資訊長"", ""(04)25688746"", ""公告本公司國內第一次無擔保轉換公司債轉換價格調整"", ""51"", ""115/06/26"", ""1.事實發生日:115/06/26\n2.公司名稱:來億興業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據本公司中華民國境內第一次無擔保轉換公司債發行及\n轉換辦法第十四條規定調整轉換價格\n6.因應措施:本公司自115年7月19日(除息基準日)起，本公司國內第一次\n無擔保轉換公司債之轉換價格由每股新台幣246.4元調整為新台幣237.5元\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""來億-KY""}, ""datetime"": ""115/06/26 18:50:46""}",2026-06-26 18:50:31
