key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150604|sii|2308|1,115/06/04,17:31:47,2308,台達電,本公司代子公司DeltaElectronics(Thailand)PublicCompanyLimited公告向非關係人取得機器設備,機器設備,1150604,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2308"", ""data"": [[1, ""115/06/04"", ""17:31:47"", ""周志宏"", ""永續長"", ""(02)87972088"", ""本公司代子公司Delta Electronics (Thailand) Public Company Limited公告向非關係\r\n人取得機器設備"", ""20"", ""115/06/04"", ""1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:\r\n機器設備\r\n2.事實發生日:115/4/14~115/6/4\r\n3.董事會通過日期: 不適用\r\n4.其他核決日期:\r\n核決層級:依內部核決權限規定辦理\r\n民國115年6月4日\r\n5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:\r\n累計取得機器設備之交易金額約為美金32.8佰萬元\r\n6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關\r\n係人者，得免揭露其姓名）:\r\n交易相對人：CHROMA ATE INC.\n與公司關係：非本公司關係人\r\n7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之\r\n所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期\r\n及移轉金額:\r\n不適用\r\n8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係\r\n人之取得及處分日期、價格及交易當時與公司之關係:\r\n不適用\r\n9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明\r\n認列情形）:\r\n不適用\r\n10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定\r\n事項:\r\n電匯\r\n11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及\r\n決策單位:\r\n交易之決定方式：議價\n決策單位：依Delta Electronics (Thailand) Public Company Limited內部核決權限規\n定辦理\r\n12.專業估價者事務所或公司名稱及其估價金額:\r\n不適用\r\n13.專業估價師姓名:\r\n不適用\r\n14.專業估價師開業證書字號:\r\n不適用\r\n15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用\r\n16.是否尚未取得估價報告:否或不適用\r\n17.尚未取得估價報告之原因:\r\n不適用\r\n18.估價結果有重大差異時，其差異原因及會計師意見:\r\n不適用\r\n19.會計師事務所名稱:\r\n不適用\r\n20.會計師姓名:\r\n不適用\r\n21.會計師開業證書字號:\r\n不適用\r\n22.經紀人及經紀費用:\r\n不適用\r\n23.取得或處分之具體目的或用途:\r\n供營業用\r\n24.本次交易表示異議之董事之意見:\r\n不適用\r\n25.本次交易為關係人交易:否\r\n26.監察人承認或審計委員會同意日期:\r\n不適用\r\n27.本次交易係向關係人取得不動產或其使用權資產:否\r\n28.依「公開發行公司取得或處分資產處理準則」第十六條規定\r\n評估之價格:不適用\r\n29.依前項評估之價格較交易價格為低者，依同準則第十七條規\r\n定評估之價格:不適用\r\n30.前已就同一件事件發布重大訊息日期: 不適用\r\n31.其他敘明事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台達電""}, ""datetime"": ""115/06/05 07:44:50""}",2026-06-05 07:44:48
1150604|sii|1312|2,115/06/04,18:02:37,1312,國喬,公告本公司現金增資發行新股認股基準日等相關事宜(補充公告發行價格暨代收及存儲價款行庫),現金增資,1150604,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1312"", ""data"": [[2, ""115/06/04"", ""18:02:37"", ""沈美佑"", ""經理"", ""(02)2175-4567"", ""公告本公司現金增資發行新股認股基準日等相關事宜\r\n(補充公告發行價格暨代收及存儲價款行庫)"", ""11"", ""115/06/04"", ""1.董事會決議或公司決定增資基準日期:115/06/04\n2.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n3.主管機關申報生效日期:115/05/26\n4.董事會決議(追補)發行日期:115/04/10\n5.發行總金額及股數:\n發行總面額新台幣4,000,000千元\n發行總股數400,000千股\n6.採總括申報發行新股案件，本次發行金額及股數:不適用\n7.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用\n8.每股面額:新台幣10元\n9.發行價格:每股新台幣14.00元整。(補充公告)\n10.員工認股股數:增資發行股份總數之10%，計40,000千股，由員工認購\n11.原股東認購比率:增資發行股份總數之80%，計320,000千股，由原股東按認股基\n準日股東名簿所載之持股比例認購。每千股認購新股284.03535073股，惟實際認股\n率以認股基準日股東名簿所載之股數為準\n12.公開銷售方式及股數:增資發行股份總數之10%，計40,000千股，以公開申購方式\n對外公開承銷\n13.畸零股及逾期未認購股份之處理方式:認購不足一股之畸零股，得由股東於停止\n過戶日起五日內至本公司股務代理機構辦理拼湊一整股認購，逾期未拼湊者視為放\n棄。本次原股東及員工放棄認購或認購不足之股份，授權董事長洽特定人按發行價\n格認購之\n14.本次發行新股之權利義務:與原已發行普通股股份相同\n15.本次增資資金用途:償還銀行借款及購置機器設備\n16.現金增資認股基準日:115/06/19\n17.最後過戶日:115/06/14\n18.停止過戶起始日期:115/06/15\n19.停止過戶截止日期:115/06/19\n20.股款繳納期間:\n原股東及員工繳款期間:115/06/29~115/07/03\n特定人認股繳款期間:115/07/06~115/07/08\n21.與代收及專戶存儲價款行庫訂約日期:115/06/04（補充公告）\n22.委託代收存款機構:凱基商業銀行 敦北分公司\n23.委託存儲款項機構:凱基商業銀行 城東分公司\n24.其他應敘明事項:\n(1)本公司辦理現金增資發行新股乙案，業經金融監督管理委員會115年05月26日金\n管證發字第1150342231號函申報生效在案\n(2)除權交易日:115年06月11日\n(3)因最後過戶日115年6月14日適逢星期例假日，凡持有本公司股票而尚未辦理過戶\n之股東，請提前於民國115年06月12日16時30分前親臨本公司股務代理機構「凱基證\n券股份有限公司股務代理部」(100502台北市中正區重慶南路一段2號5樓)，辦理過\n戶手續，掛號郵寄者以民國115年06月14日(最後過戶日)郵戳日期為憑。凡參加台灣\n集中保管結算所股份有限公司進行集中辦理過戶者，本公司股務代理機構將依其送\n交之資料逕行辦理過戶手續。\n(3)本次現金增資發行計畫之所訂內容及其他相關未盡事宜，如因主管機關核定修正\n或因法令規定及客觀環境改變而須變更時，授權董事長全權處理之""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""國喬""}, ""datetime"": ""115/06/05 07:44:51""}",2026-06-05 07:44:48
1150604|rotc|6892|1,115/06/04,17:35:22,6892,台寶生醫,公告本公司114年第1次私募普通股收足股款暨增資基準日,私募普通股,1150604,rotc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""6892"", ""data"": [[1, ""115/06/04"", ""17:35:22"", ""楊鈞堯"", ""執行長"", ""02-26956382"", ""公告本公司114年第1次私募普通股收足股款暨增資基準日"", ""44"", ""115/06/04"", ""1.事實發生日:115/06/04\n2.公司名稱:台寶生醫股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n (1)本公司經115/5/27董事會通過114年第1次私募普通股發行總股數為普通股\n    1,410,228股，每股認購價格22元，合計新台幣31,025,016元，業已於115年\n    6月4日收足股款。\n (2)增資基準日為115年6月4日。\n6.因應措施:\n 本次私募對象及與本公司之關係等其他重要說明事項可至公開資訊觀測站之\n 私募專區查詢。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台寶生醫""}, ""datetime"": ""115/06/05 07:44:51""}",2026-06-05 07:44:48
1150604|rotc|7781|5,115/06/04,18:08:54,7781,昕力資*,公告本公司訂定現金增資認股基準日等相關事宜(補充代收股款及存儲專戶行庫資訊),現金增資,1150604,rotc,5,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""7781"", ""data"": [[5, ""115/06/04"", ""18:08:54"", ""葉怡蘭"", ""總經理"", ""02-26580508"", ""公告本公司訂定現金增資認股基準日等相關事宜\r\n(補充代收股款及存儲專戶行庫資訊)"", ""9"", ""115/06/04"", ""1.董事會決議或公司決定日期:115/06/04\n2.發行股數:普通股50,000,000股\n3.每股面額:新台幣0.5元\n4.發行總金額:新台幣25,000,000元整 (以面額計算)\n5.發行價格:每股新台幣21.30元\n6.員工認股股數:\n依公司法第267條規定，保留發行新股總額10%計5,000,000股予公司員工認購。\n7.原股東認購比例(另請說明每仟股暫定得認購股數):\n發行股份90%計45,000,000股，由原股東按增資認股基準日股東名簿記載之股東\n持股比率認購，每仟股得認購75.03991373股。\n8.公開銷售方式及股數:不適用\n9.畸零股及逾期未認購股份之處理方式:\n原股東可認購不足一股之畸零股，得由股東自行在停止過戶日起五日內，逕向\n本公司股務代理機構辦理拼湊成整股認購，其拼湊不足一股之畸零股及原股東\n、員工放棄認購或認購不足及逾期未拼湊之部分，擬授權董事長洽特定人按發\n行價格認購。\n10.本次發行新股之權利義務:\n本次現金增資發行之新股，其權利義務與原已發行之普通股相同。\n11.本次增資資金用途:充實營運資金、拓展業務及改善財務結構。\n12.現金增資認股基準日:115/07/01\n13.最後過戶日:115/06/26\n14.停止過戶起始日期:115/06/27\n15.停止過戶截止日期:115/07/01\n16.股款繳納期間:\n(1)原股東及員工繳款期間:115/07/03至115/07/08\n(2)特定人認股繳款期間:115/07/09至115/07/13\n17.與代收及專戶存儲價款行庫訂約日期:115/06/04(補充公告)\n18.委託代收款項機構:永豐國際商業銀行城中分行(補充公告)\n19.委託存儲款項機構:永豐國際商業銀行內湖分行(補充公告)\n20.其他應敘明事項:\n(1)本次現金增資案業經金融監督管理委員會115年06月02日金管證發字\n第1150345054號函申報生效在案。\n(2)本次現金增資之重要內容，包括發行股數、認股率、發行價格、發行條件、\n計劃項目、資金運用進度及預計效益暨其他有關本次現金增資之事項，如經主\n管機關修正及基於營運評估或因客觀環境而需修正者或有其他未盡事宜，擬授\n權董事長視實際情況全權處理之 。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""昕力資*""}, ""datetime"": ""115/06/05 07:44:52""}",2026-06-05 07:44:48
