key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150519|sii|2324|1,115/05/19,18:06:16,2324,仁寶,公告本公司向金融監督管理委員會申請辦理廢止海外第五次無擔保轉換公司債案,公司債,1150519,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2324"", ""data"": [[1, ""115/05/19"", ""18:06:16"", ""王正強"", ""副總經理"", ""(02)87978588"", ""公告本公司向金融監督管理委員會申請辦理廢止\r\n海外第五次無擔保轉換公司債案"", ""11"", ""115/05/19"", ""1.事實發生日:115/05/19\n2.原公告申報日期:114/11/12\n3.簡述原公告申報內容:\n公告本公司董事會決議發行海外第五次無擔保轉換公司債\n4.變動緣由及主要內容:\n(1)本公司申報發行海外第五次無擔保轉換公司債，業經\n金融監督管理委員會（下稱金管會）民國115年1月12日\n金管證發字第1140368832號函同意申報生效，及金管會\n115年3月30日金管證發字第1150338491號函准予延長\n募集期間三個月在案。\n(2)因市場環境變化劇烈，考量本公司整體利益及股東權益，\n本公司擬向金管會申請廢止海外第五次無擔保轉換公司債案。\n5.變動後對公司財務業務之影響:無重大影響。\n6.其他應敘明事項:無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""仁寶""}, ""datetime"": ""115/05/20 16:24:57""}",2026-05-20 16:24:55
1150520|sii|6592|1,115/05/20,11:45:44,6592,和潤企業,補充公告本公司原2025/11/06公告董事會決議發行有擔保普通公司債相關事宜,公司債,1150520,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6592"", ""data"": [[1, ""115/05/20"", ""11:45:44"", ""楊鎧榮"", ""副總經理"", ""02-2502-4567"", ""補充公告本公司原2025/11/06公告\r\n董事會決議發行有擔保普通公司債相關事宜"", ""11"", ""115/05/20"", ""1.董事會決議日期:NA\n2.名稱﹝XX公司第X次（有、無）擔保公司債﹞:\n 和潤企業股份有限公司115年度第2次有擔保普通公司債\n3.是否採總括申報發行公司債(是/否):否\n4.發行總額:總額為新臺幣參拾億元整\n5.每張面額:票面金額為新台幣壹佰萬元\n6.發行價格:依票面金額十足發行\n7.發行期間:發行期限為3年期\n8.發行利率:固定年利率1.90%\n9.擔保品之種類、名稱、金額及約定事項:銀行保證\n10.募得價款之用途及運用計畫:償還債務\n11.承銷方式:委託承銷商對外公開承銷\n12.公司債受託人:元大商業銀行股份有限公司\n13.承銷或代銷機構:群益金鼎證券股份有限公司\n14.發行保證人:日商三井住友銀行股份有限公司台北分公司\n15.代理還本付息機構:元大商業銀行股份有限公司\n16.簽證機構:無\n17.能轉換股份者，其轉換辦法:不適用\n18.賣回條件:不適用\n19.買回條件:不適用\n20.附有轉換、交換或認股者，其換股基準日:不適用\n21.附有轉換、交換或認股者，對股權可能稀釋情形:不適用\n22.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""和潤企業""}, ""datetime"": ""115/05/20 16:24:59""}",2026-05-20 16:24:55
1150520|sii|8926|1,115/05/20,14:21:13,8926,台汽電,公告本公司114年現金增資收足股款暨增資基準日,現金增資,1150520,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""8926"", ""data"": [[1, ""115/05/20"", ""14:21:13"", ""陳意通"", ""總經理"", ""8798-2000"", ""公告本公司114年現金增資收足股款暨增資基準日"", ""51"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.公司名稱:台灣汽電共生股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n(1)本公司114年現金增資發行普通股100,000,000股，每股認購價格新台幣32.73元，\n實收股款總額新台幣3,273,000,000元，業已全數收足。\n(2)收足股款日:115年5月20日。\n(3)委託存儲款項機構:臺灣銀行公館分行。\n(4)現金增資基準日:115年5月20日。\n(5)股款繳納憑證上市日:115年5月25日。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台汽電""}, ""datetime"": ""115/05/20 16:24:59""}",2026-05-20 16:24:55
1150518|sii|3027|1,115/05/20,15:55:43,3027,盛達,公告本公司115年4月份自結合併財務報告之相關資訊,自結合併,1150518,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3027"", ""data"": [[1, ""115/05/20"", ""15:55:43"", ""蕭啟仁"", ""總管理處協理"", ""02-29145665"", ""公告本公司115年4月份自結合併財務報告之相關資訊"", ""51"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.公司名稱:盛達電業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據『臺灣證券交易所股份有限公司』臺證上一字第1061805510號函\n文，於每月底前公告本公司自結合併財務報告截至上月底其他應收款餘額及占資產\n和股本之比例、未逾期及已逾期金額，暨上月已收回金額等資訊‧\n項目                                       截至115/04/30 (單位:新台幣仟元)\n其他應收款餘額                                 208,254\n其他應收款餘額佔資產比例                          6.52%\n其他應收款餘額佔股本比例                         16.05%\n其他應收款未逾期金額                             39,775\n其他應收款已逾期金額                            168,749\n115/4/1-115/4/30已收回金額                            0\n6.因應措施:請詳其他應敘明事項\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\na.截至115/4/30止，上列其他應收款於帳上已提列之呆帳損失金額為新台幣168,749千元\nb.債權保全措施:公司已委請專業律師向華南國際經濟貿易仲裁委員會提交仲裁申請，\n仲裁結果將會決定是否能向中國普天信息及普天國際貿易追討其他應收款\nUS$4,458,769。公司將盡最大能力保障本公司及股東之權益。\nc.本公司資金可支應公司營運所需，對財務業務無重大影響。\nd.本公司接獲深圳國際仲裁院通知，裁決期限將延長至115年6月30日。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""盛達""}, ""datetime"": ""115/05/20 16:25:00""}",2026-05-20 16:24:55
1150520|sii|1727|1,115/05/20,16:17:45,1727,中華化,公告本公司擬向金融監督管理委員會申請撤銷辦理國內第二次無擔保轉換公司債案,公司債,1150520,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1727"", ""data"": [[1, ""115/05/20"", ""16:17:45"", ""干凱恩"", ""總經理"", ""03-4761266-12350"", ""公告本公司擬向金融監督管理委員會申請撤銷辦理\r\n國內第二次無擔保轉換公司債案"", ""11"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.原公告申報日期:114/12/10\n3.簡述原公告申報內容:公告本公司董事會決議發行國內第二次無擔保轉換公司債\n4.變動緣由及主要內容:\n(1)本公司申報發行國內第二次無擔保轉換公司債上限6,000張，每張面額\n   新臺幣100仟元，上限總額新臺幣600,000仟元案，業經民國115年1月14日\n   金管證發字第1140369068號函核准申報生效，並經民國115年3月30日金管證\n   發字第1150338556號函核准延長募集期間至民國115年7月13日。\n(2)因近期市場環境及股價變動，本公司重新評估本次籌資計畫並進行調整，\n    為維護股東權益及配合資金調度規劃，擬向金融監督管理委員會申請撤銷\n    本公司國內第二次無擔保轉換公司債案。\n5.變動後對公司財務業務之影響:\n無重大影響，原預計資金用途為償還銀行借款，擬以銀行借款或自有資金支應，\n提前或於原借款屆期時償還。\n6.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""中華化""}, ""datetime"": ""115/05/20 16:25:01""}",2026-05-20 16:24:55
1150519|otc|4749|1,115/05/19,17:45:42,4749,新應材,公告本公司因逢股東常會停止過戶60天，故申請延長發行115年度現金增資發行新股募集期間三個月，業經金管會准予備查。,現金增資,1150519,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""4749"", ""data"": [[1, ""115/05/19"", ""17:45:42"", ""呂韶文"", ""董事長室資深處長"", ""03-4072100"", ""公告本公司因逢股東常會停止過戶60天，故申請延長發行\r\n115年度現金增資發行新股募集期間三個月，業經金管會准予\r\n備查。"", ""53"", ""115/05/19"", ""1.事實發生日:115/05/19\n2.公司名稱:新應材股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n(1)本公司申報115年度現金增資發行普通股2,000千股，發行總\n面額為新臺幣20,000千元乙案，業經金融監督管理委員會於115\n年4月20日金管證發字第1150339433號函核准申報生效在案。\n(2)茲因本次現金增資發行普通股之募集，須待本公司115年度股\n東常會停止過戶期間屆滿後始能辦裡，另考量依公司法規定訂定\n原股東及員工認股繳款期限後，致無法於經金融監督管理委員會\n申報生效通知到達之日起三個月內募足並收足現金款項，為順利\n完成資金募集，維護本公司股東及公司整體之最大權益，已依規\n定向主管機關申請延長現金增資發行新股之募集期間三個月；業\n經115年5月13日金管證發字第1150343527號函核准備查在案，募\n集期間延長至115年10月19日。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""新應材""}, ""datetime"": ""115/05/20 16:25:02""}",2026-05-20 16:24:55
1150519|otc|4523|2,115/05/19,19:56:30,4523,永彰,代重要子公司「永雋科技股份有限公司」公告115年第1次現金增資基準日(調整發行新股股數等相關資訊),現金增資,1150519,otc,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""4523"", ""data"": [[2, ""115/05/19"", ""19:56:30"", ""謝淑蘭"", ""財務、會計主管"", ""03-498-2821"", ""代重要子公司「永雋科技股份有限公司」公告\r\n115年第1次現金增資基準日(調整發行新股股數等相關資訊)"", ""53"", ""115/05/19"", ""1.事實發生日:115/05/19\n2.公司名稱:永雋科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):子公司\n4.相互持股比例:\n本公司對重要子公司「永雋科技股份有限公司」之持股比例為45.067%。\n5.發生緣由:\n1.本公司於民國115年2月10日經董事會決議發行新股普通股40,000,000股，\n每股發行價格新台幣10元，共計400,000,000元。\n2.截至本日為止，本次發行新股之股款尚未收足，為配合子公司改善財務結構，\n將原訂發行普通股新股股數由40,000,000股降低為36,194,262股，\n每股面額及發行價格仍維持10元，共361,942,620元。\n3.訂定增資基準日為115年5月20日。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""永彰""}, ""datetime"": ""115/05/20 16:25:03""}",2026-05-20 16:24:55
1150513|otc|5701|1,115/05/20,13:36:58,5701,劍湖山,公告本公司115年04月份自結合併財務報告之負債比率、流動比率及速動比率。,自結合併,1150513,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""5701"", ""data"": [[1, ""115/05/20"", ""13:36:58"", ""曾慶欑"", ""總經理"", ""05-5825789"", ""公告本公司115年04月份自結合併\r\n財務報告之負債比率、流動比率及速\r\n動比率。"", ""53"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.發生緣由:依財團法人中華民國證券櫃檯買賣中心106/12/7證櫃監字第1060201307號\n函辦理\n3.財務資訊年度月份:115/04\n4.自結流動比率:7.91%\n5.自結速動比率:5.93%\n6.自結負債比率:79.37%\n7.因應措施:於公開資訊觀測站公告相關資訊。\n8.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""劍湖山""}, ""datetime"": ""115/05/20 16:25:04""}",2026-05-20 16:24:55
1150520|otc|4760|3,115/05/20,14:31:39,4760,勤凱科技,公告本公司國內第二次無擔保轉換公司債收足股款,公司債,1150520,otc,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""4760"", ""data"": [[3, ""115/05/20"", ""14:31:39"", ""曾聰乙"", ""董事長"", ""07-7873287"", ""公告本公司國內第二次無擔保轉換公司債收足股款"", ""53"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.公司名稱:勤凱科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據「發行人募集與發行有價證券處理準則」第九條第一項第二款規定辦理\n公告本公司發行國內第二次無擔保轉換公司債至公告日止，債款代收銀行業已收足所有\n應募款項共計新台幣肆億零仟貳佰萬元整，並匯撥至存儲專戶銀行，特此公告。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""勤凱科技""}, ""datetime"": ""115/05/20 16:25:05""}",2026-05-20 16:24:55
1150520|otc|4979|2,115/05/20,15:01:15,4979,華星光,本公司可轉換公司債華星光四(代號：49794)達公布注意交易資訊標準，故公告相關訊息，以利投資人區別瞭解。,公司債,1150520,otc,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""4979"", ""data"": [[2, ""115/05/20"", ""15:01:15"", ""王雅瑜"", ""財會處處長"", ""(03)452-5188"", ""本公司可轉換公司債華星光四(代號：49794)達公布注\r\n意交易資訊標準，故公告相關訊息，以利投資人區別瞭解。"", ""53"", ""115/05/20"", ""1.事實發生日:115/05/20\n2.發生緣由:依財團法人中華民國證券櫃檯買賣中心通知辦理。\n3.財務業務資訊:華星光四(49794)可轉債相關資訊\n到期日期：116/12/25\n實際發行總額：200,000,000元\n發行餘額：126,500,000元(截至115/04/30)\n最新轉(交)換價格：204.30\n轉換標的收盤價格(4979)：562 (115/05/20)\n轉換債收盤價格(49794)：260 (115/05/20)\n4.有無「財團法人中華民國證券櫃檯買賣中心對有價證券上櫃公司\n重大訊息之查證暨公開處理程序 」第4條所列重大訊息之情事（如\n「有」，請說明）:無。\n5.有無「財團法人中華民國證券櫃檯買賣中心對有價證券上櫃公司\n重大訊息之查證暨公開處理程序」第11條所列重大訊息說明記者會\n之情事:無。\n6.其他應敘明事項:無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""華星光""}, ""datetime"": ""115/05/20 16:25:06""}",2026-05-20 16:24:55
