key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150402|sii|1529|6,115/04/02,20:49:05,1529,樂事綠能,公告本公司董事會通過現金增資發行新股(修正原股東認購比例及畸零股及逾期未認購股份之處理方式),現金增資,1150402,sii,6,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1529"", ""data"": [[6, ""115/04/02"", ""20:49:05"", ""陳介仁"", ""董事長"", ""(06)221-7189"", ""公告本公司董事會通過現金增資發行新股\r\n(修正原股東認購比例及畸零股及逾期未認購股份之處理方式)"", ""11"", ""115/04/02"", ""1.董事會決議日期:115/04/02\n2.增資資金來源:現金增資\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n新台幣400,000千元/40,000,000股\n5.採總括申報發行新股案件，本次發行金額及股數:不適用\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用\n7.每股面額:新台幣10元。\n8.發行價格:暫定每股以新台幣20元發行,惟實際發行價格須視市場狀況\n與證券承銷商共同議定之。\n9.員工認購股數或配發金額:依公司法第267條規定保留發行股份總數之\n15%股份，計6,000千股由本公司員工認購。　\n10.公開銷售股數:採公開申購方式:依證券交易法第28條之1規定,\n提撥增資發行股數之10%,即4,000千股對外公開承銷。\n11.原股東認購或無償配發比例:每仟股認購193.42974103股(以現行實收資本額計)\n即發行新股總數(40,000千股)之75%,共計30,000千股由原股東按認股基準日\n股東名簿記載之持股比例認購。\n12.畸零股及逾期未認購股份之處理方式:認購不足1股之畸零股,由股東於停止過戶日起\n5日內自行至本公司股務代理機構申請拼湊 ,拼湊後仍不足1股或逾期未拼湊者及員工\n及原股東若有放棄認購或認購不足部分，擬授權董事長按發行價格洽特定人認購之。\n13.本次發行新股之權利義務:與原股份相同。\n14.本次增資資金用途:\n(1)充實營運資金\n(2)償還借款\n(3)轉投資子公司\n15.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""樂事綠能""}, ""datetime"": ""115/04/03 06:34:24""}",2026-04-03 06:34:22
1150402|otc|2740|7,115/04/02,17:49:29,2740,華軒,(補充公告)公告本公司董事會通過以私募方式辦理現金增資發行普通股案,現金增資,1150402,otc,7,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""2740"", ""data"": [[7, ""115/04/02"", ""17:49:29"", ""陳朝泉"", ""總經理"", ""(02)2313-1260"", ""(補充公告)公告本公司董事會通過以私募方式辦理現金增資發行\r\n普通股案"", ""11"", ""115/04/02"", ""1.董事會決議日期:115/04/02\n2.私募有價證券種類:普通股\n3.私募對象及其與公司間關係:\n本次私募普通股之對象以符合證券交易法第43條之6及主管機關相關函令規定之\n特定人為限。洽特定人之相關事宜，擬提請股東會授權董事會全權處理之。\n目前尚無已洽定之應募人。\n惟應募人若為公司之內部人或關係人者，其與公司之關係如下:\n   可能應募人                          與本公司關係\n ---------------------           ---------------------------\n 永軒開發投資有限公司              本公司法人董事暨本公司大股東\n 陳銘鴻                          本公司董事長\n 立軒國際建設股份有限公司          與本公司董事長為同一人\n4.私募股數或張數:不超過10,000,000股之普通股。\n5.得私募額度:擬於10,000,000股額度內，於股東會決議日起一年內分三次辦理。\n6.私募價格訂定之依據及合理性:\n(1)本次私募普通股每股參考價格以下列二基準計算價格較高者定之：\n   A.定價日前1、3或5個營業日擇一計算之普通股收盤價簡單算數平均數，扣除無償\n     配股除權及配息，並加回減資反除權後之股價。\n   B.定價日前30個營業日普通股收盤價簡單算數平均數，扣除無償配股除權及配息，\n     並加回減資反除權後之股價。\n(2)本次私募普通股每股價格不得低於參考價格之八成，且不得低於股票面額為私募\n   價格訂定之依據。\n(3)實際發行價格擬提請股東會授權董事會以不低於股東會所決議成數範圍內，視日\n   後市場狀況決定之。\n7.本次私募資金用途:為充實營運資金、轉投資或購置不動產或償還銀行借款等。\n8.不採用公開募集之理由:評估資金市場及募集資本之時效性、便利性及發行成本，\n 以私募方式於適當時機向特定人募集資金，以達到迅速挹注所需資金之目的。\n9.獨立董事反對或保留意見:無\n10.實際定價日:未定\n11.參考價格:未定\n12.實際私募價格、轉換或認購價格:未定\n13.本次私募新股之權利義務:\n本次私募普通股，其權利義務原則上與本公司已發行之普通股相同，除符合證券交\n易法第43條之8規定之轉讓對象及數量外，自交付日起三年內受限不得轉讓；並於私\n募普通股交付日起滿三年後在符合相關法令規定下，視實際作業需要授權董事長向證\n券主管機關申請補辦公開發行及申請股票上櫃或上市交易。\n14.附有轉換、交換或認股者，其換股基準日:不適用\n15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用\n16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對上櫃普通股\n股權比率之可能影響（上櫃普通股數A、A/已發行普通股）:不適用\n17.前項預計上櫃普通股未達500萬股且未達25%者，請說明股權流通性偏低之因應措施:\n不適用\n18.其他應敘明事項:\n補充說明如下:\n(一)本公司為充實營運資金、轉投資或購置不動產或償還銀行借款等之資金需求，\n於114年12月29日董事會決議辦理私募增資發行普通股案，並已經115年2月24日股\n東臨時會決議通過。\n(二)惟於本公司115年3月5日董事會決議辦理115年私募普通股第一次私募定價時，\n考量本次私募案，於115年2月24日股東臨時會討論案中，並未明確提及到「如預計\n無法於期限內辦理完成本次全數私募股數，原計畫仍屬可行，則視為已收足私募有\n價證券之股款」之文字，為讓私募程序更佳完備，故提請於115年6月2日之股東常\n會中，追認以下文字「如預計無法於期限內辦理完成本次全數私募股數，或於剩餘\n期限內已無繼續分次私募之計畫，原計畫仍屬可行，則視為已收足私募有價證券之\n股款。」，以符合股東會之決議。並補充辦理私募之資金用途及預計達成效益如下\n表：\n 辦理次數  預計各次辦理股數\t  資金用途\t          預計達成效益\n---------  ----------------  -------------------   -----------------------\n 第一次\t 3,000,000股          充實營運資金、轉投資    強化公司財務結構，提升\n                              或購置不動產或償還銀    本公司之競爭優勢，有助\n                              行借款等之資金需求。    公司營運穩定成長。\n 第二次\t 3,000,000股          充實營運資金、轉投資    強化公司財務結構，提升\n                              或購置不動產或償還銀    本公司之競爭優勢，有助\n                              行借款等之資金需求。    公司營運穩定成長。\n 第三次\t 4,000,000股          充實營運資金、轉投資    強化公司財務結構，提升\n                              或購置不動產或償還銀    本公司之競爭優勢，有助\n                              行借款等之資金需求。    公司營運穩定成長。\n上述分次辦理之私募增資案，當次未發行之股數得併同下次發行，合計發行總股數以\n不超過10,000,000股為限。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""華軒""}, ""datetime"": ""115/04/03 06:34:24""}",2026-04-03 06:34:22
1150402|rotc|6912|3,115/04/02,17:41:31,6912,益鈞環科*,公告本公司董事長訂定115年度現金增資認股基準日等相關事宜,現金增資,1150402,rotc,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""興櫃公司"", ""companyId"": ""6912"", ""data"": [[3, ""115/04/02"", ""17:41:31"", ""秦錫鈞"", ""總經理"", ""0928186912"", ""公告本公司董事長訂定115年度現金增資認股基準日等相關事宜"", ""9"", ""115/04/02"", ""1.董事會決議或公司決定日期:115/04/02\n2.發行股數:14,000,000股\n3.每股面額:新台幣1元整\n4.發行總金額:按面額以新台幣14,000,000元\n5.發行價格:每股新台幣18元整\n6.員工認股股數:保留發行新股總數 10%之股份計1,400,000股由本公司員工認購。\n7.原股東認購比例(另請說明每仟股暫定得認購股數):\n本次發行新股總數90%之股份計12,600,000股，由原股東按認股基準日股東名簿\n記載之持股比例認購，每仟股約可認購87股。\n8.公開銷售方式及股數:不適用。\n9.畸零股及逾期未認購股份之處理方式:認購不足一股之畸零股，\n自停止過戶日起五日內由股東自行至本公司股務代理機構辦理拼湊。\n原股東及員工放棄認購之股份或拼湊不足一股之畸零股，\n均授權董事長洽詢特定人認購之。\n10.本次發行新股之權利義務:與原發行之普通股股份相同。\n11.本次增資資金用途:償還銀行借款及充實營運資金強化公司財務結構。\n12.現金增資認股基準日:115/04/28\n13.最後過戶日:115/04/23\n14.停止過戶起始日期:115/04/24\n15.停止過戶截止日期:115/04/28\n16.股款繳納期間:原股東及員工繳款期間：115/05/08 ~ 115/05/15\n               特定人繳款期間：115/05/18 ~ 115/05/19\n17.與代收及專戶存儲價款行庫訂約日期:俟簽約後另行公告。\n18.委託代收款項機構:俟簽約後另行公告。\n19.委託存儲款項機構:俟簽約後另行公告。\n20.其他應敘明事項:\n(1)本次現金增資發行新股案業經金融監督管理委員會115年03月31日\n金管證發字第1150337887號函同意申報生效在案。\n(2)本次現金增資之發行價格、發行股數、發行條件及方式、計畫項目、募集金額、\n資金運用計畫及進度、預計可能產生效益及其他有關事項，如因法令變更、\n經主管機關修正或為因應客觀環境改變或其他事實需要而須調整修正時，\n授權董事長全權處理之。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""益鈞環科*""}, ""datetime"": ""115/04/03 06:34:25""}",2026-04-03 06:34:22
