key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150317|sii|7711|1,115/03/17,22:57:35,7711,永擎,公告本公司董事會決議買回庫藏股,庫藏股,1150317,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""7711"", ""data"": [[1, ""115/03/17"", ""22:57:35"", ""洪培雅"", ""經理"", ""(02)5559-9600"", ""公告本公司董事會決議買回庫藏股"", ""35"", ""115/03/17"", ""1.董事會決議日期:115/03/17\r\n2.買回股份目的:轉讓股份予員工\r\n3.買回股份種類:普通股\r\n4.買回股份總金額上限(元):3,497,802,175\r\n5.預定買回之期間:115/03/18~115/05/17\r\n6.預定買回之數量(股):1,500,000\r\n7.買回區間價格(元):180.00~268.00，公司股價低於區間價格下限，將繼續買回\r\n8.買回方式:自集中交易市場買回\r\n9.預定買回股份占公司已發行股份總數之比率(%):2.09\r\n10.申報時已持有本公司股份之累積股數(股):0\r\n11.申報前三年內買回公司股份之情形:\r\n無買回\r\n12.已申報買回但未執行完畢之情形:\r\n無\r\n13.董事會決議買回股份之會議紀錄:\r\n115年03月17日董事會決議第一次買回本公司股份。\r\n14.「上市上櫃公司買回本公司股份辦法」第十條規定之轉讓辦法:\r\n一、\t發行目的\r\n本公司為激勵員工及提昇員工向心力，依據證券交易法第28 條之2 第1 項第1 款及金融監\r\n督管理委員會發布之「上市上櫃公司買回本公司股份辦法」等相關規定，訂定本公司買回股\r\n份轉讓員工辦法。本公司買回股份轉讓予員工，除依有關法令規定外，悉依本辦法規定辦\r\n理。\r\n二、\t轉讓股份之種類、權利內容及權利受限情形\r\n本次轉讓予員工之股份為普通股，其權利義務除有關法令及本辦法另有規定者外， 與其他\r\n流通在外普通股相同。\r\n三、\t轉讓期間\r\n本次買回之股份，得依本辦法之規定，自買回股份完成日起5年內，一次或分次轉讓予員\r\n工，逾期未轉讓部份，視為本公司未發行股份，應依法辦理註銷股份變更登記。各次轉讓作\r\n業之員工認購繳款期間及相關事宜，授權董事長另行訂定。\r\n四、\t得為認購員工之資格\r\n凡於認購配股基準日已到職之本公司及國內外控制或從屬公司之正式編制內全職員工為限。\r\n所稱「控制或從屬公司」，係依公司法第 369條之 2、第 369 條之 3、第 369 條之9 第 2\r\n項及第 369 條之 11 之標準認定之。並依據員工職等、服務年資及對公司之特殊貢獻等標\r\n準，並須兼顧認股基準日時公司持有之買回股份總額及單一員工認購股數之上限等因素，訂\r\n定員工得受讓股份之權數，報請董事會核准之。\r\n五、\t轉讓員工之程序\r\n員工得認購之庫藏股數額按其特殊貢獻及未來發展潛力等因素予以核計，茲敘述如下：\r\n(一)\t由各級主管考核建議並呈報總經理核定後提請董事會裁決。\r\n(二)\t各次轉讓作業之認購配股基準日及認購繳款期間等相關事項，依相關規定另行核定。\r\n(三)\t員工於認購繳款期間屆滿而未認購繳款者，視為棄權；認購不足之餘額，得於第三條\r\n規範之轉讓期間，由總經理核定後提請董事會裁決，另洽其他員工認購之。\r\n六、\t本公司辦理買回庫藏股轉讓員工之程序\r\n(一)\t依董事會之決議，公告、申報並於執行期限內買回本公司股份。\r\n(二)\t董事會依本辦法訂定及公布員工認股基準日、得認購股數標準、認購繳款期間、權利\r\n內容及限制條件等作業事項。\r\n(三)\t統計實際認購繳款股數，辦理股票轉讓過戶登記。\r\n七、\t每股轉讓價格\r\n(一)\t本次買回股份轉讓予員工，以實際買回之平均價格為轉讓價格，惟轉讓前，如遇公司\r\n已發行之普通股股份增加(或減少)，得按發行股份增加(或減少)比率調整之；或依據本公司\r\n章程規定，以低於實際買回之平均價格轉讓予員工者，應於轉讓前，提經最近一次股東會有\r\n代表已發行股份總數過半數股東之出席，出席股東表決權三分之二以上之同意，並應於該次\r\n股東會召集事由中列舉說明「上市上櫃公司買回本公司股份辦法」第10 條之1 規定事項，\r\n始得辦理。\r\n(二)\t調整後轉讓價格：\r\n實際買回股份之平均價格 x 申報買回股份時已發行之普通股總數 / 轉讓買回股份予員工前\r\n已發行之普通股總數。\r\n八、\t轉讓後之權利義務\r\n本次買回股份轉讓予員工並辦理過戶登記後，除另有規定者外，餘權利義務與原有股份相\r\n同。\r\n九、\t其他重要約定事項\r\n(一)\t保密義務：得為認股之員工，應遵守保密規定，不探詢他人或洩漏被授予之庫藏股相\r\n關內容及數量，若有違反之情事，本公司有權以轉讓價格買回並予以註銷，並依情節輕重懲\r\n處之。\r\n(二)\t本公司買回股份轉讓予員工，其所發生之稅捐及費用應依相關法令由公司或員工各自\r\n負擔。\r\n(三)\t本辦法經董事會三分之二以上董事出席及出席董事超過二分之一同意，若因主管機關\r\n審核之要求而需修正時，授權董事長修訂本辦法，嗣後再提董事會追認後始得實施。\r\n(四)\t本辦法如有未盡事宜，悉依相關法令規定辦理。\r\n十、\t本辦法經董事會決議通過後生效，修訂時亦同。\r\n十一、\t本辦法訂定於中華民國115年3月17日。\r\n15.「上市上櫃公司買回本公司股份辦法」第十一條規定之轉換或認股辦法:\r\n不適用\r\n16.董事會已考慮公司財務狀況，不影響公司資本維持之聲明:\r\n永擎電子股份有限公司董事會聲明書\r\n一、本公司經115年3月17日第五屆第十四次臨時董事會三分之二以上董事之出席及出席董事\r\n超過二分之一之同意通過，自申報日起二個月內於集中交易市場(證券商營業處所)買回本公\r\n司股份1,500,000股。\r\n二、上述買回股份總數，僅占本公司已發行股份之2.09%，且買回股份所需金額上限僅占本\r\n公司流動資產之3.51%，茲聲明本公司董事會已考慮公司財務狀況，上述股份之買回並不影\r\n響本公司資本之維持。\r\n三、本聲明書業經本公司上述同次臨時董事會議通過，出席董事7人同意本聲明書之內容，\r\n併此聲明。\r\n永擎電子股份有限公司                 \r\n董事長  許隆倫\r\n17.會計師或證券承銷商對買回股份價格之合理性評估意見:\r\n永擎電子股份有限公司依其訂定買回價格區間執行買回股份，主要係造成現金流出，餘對該\r\n公司之財務結構、每股淨值、股東權益報酬率、流動比率及速動比率等雖有變動但對於該公\r\n司之財務狀況影響尚為合理。\r\n18.其他證期局所規定之事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""永擎""}, ""datetime"": ""115/03/18 16:51:20""}",2026-03-18 16:51:18
1150318|sii|2374|1,115/03/18,14:15:11,2374,佳能,公告本公司114年現金增資收足股款暨增資基準日,現金增資,1150318,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2374"", ""data"": [[1, ""115/03/18"", ""14:15:11"", ""章孝祺"", ""董事長暨總經理"", ""(02)8522-9788"", ""公告本公司114年現金增資收足股款暨增資基準日"", ""51"", ""115/03/18"", ""1.事實發生日:115/03/18\n2.公司名稱:佳能企業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:無\n5.發生緣由:本公司現金增資收足股款暨增資基準日\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n(1)本公司現金增資發行新股12,000,000股，每股發行價格新臺幣66元，實收股款總\n   額新臺幣792,000,000元，業已全數收足。\n(2)現金增資基準日：115年3月18日。\n(3)預定股款繳納憑證上市日期為115年3月23日。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""佳能""}, ""datetime"": ""115/03/18 16:51:21""}",2026-03-18 16:51:18
1150318|sii|6862|1,115/03/18,14:40:37,6862,三集瑞-KY,公告本公司中華民國境內第一次無擔保轉換公司債之發行，已依中國證監會發布之「境內企業境外發行證券和上市管理試行辦法」進行備案,公司債,1150318,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6862"", ""data"": [[1, ""115/03/18"", ""14:40:37"", ""王中儒"", ""業務副總經理"", ""0282279268"", ""公告本公司中華民國境內第一次無擔保轉換公司債之發行，\r\n已依中國證監會發布之「境內企業境外發行證券和上市管理試\r\n行辦法」進行備案"", ""51"", ""115/03/18"", ""1.事實發生日:115/03/18\n2.公司名稱:三集瑞科技國際集團股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:因應中國證券監督管理委員會發布之「境內企業境\n外發行證券和上市管理試行辦法」(以下稱「試行辦法」)辦理。\n6.因應措施:本公司已於115/03/18依照試行辦法規定，就發行中華\n民國境內第一次無擔保轉換公司債乙案向中國證監會進行備案。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""三集瑞-KY""}, ""datetime"": ""115/03/18 16:51:22""}",2026-03-18 16:51:18
1150318|sii|1326|1,115/03/18,14:57:43,1326,台化,本公司114年度自結合併損益與會計師查核差異說明,自結合併,1150318,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1326"", ""data"": [[1, ""115/03/18"", ""14:57:43"", ""呂文進"", ""總經理"", ""(02)27122211"", ""本公司114年度自結合併損益與會計師查核差異說明"", ""51"", ""115/03/18"", ""1.事實發生日:\r\n20260318\r\n2.與公司關係(請輸入本公司或聯屬公司):本公司\r\n3.相互持股比例:不適用\r\n4.發生緣由:\r\n自結損益與會計師查核差異說明，主要係調整母子公司交易沖銷差異數。\r\n5.因應措施:\r\n主要係調整母子公司\r\n交易沖銷差異數。\r\n6.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台化""}, ""datetime"": ""115/03/18 16:51:23""}",2026-03-18 16:51:18
1150318|sii|3006|2,115/03/18,15:06:29,3006,晶豪科,本公司可轉換公司債晶豪科一(代號:30061)近期達公布注意交易資訊標準，故公告相關訊息，以利投資人區別瞭解,公司債,1150318,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3006"", ""data"": [[2, ""115/03/18"", ""15:06:29"", ""吳鴻基"", ""特別助理"", ""03-5781-970"", ""本公司可轉換公司債晶豪科一(代號:30061)\r\n近期達公布注意交易資訊標準，\r\n故公告相關訊息，以利投資人區別瞭解"", ""51"", ""115/03/18"", ""1.事實發生日:115/03/18\n2.發生緣由:依櫃買中心通知辦理\n3.公司債相關資訊:\n到期日期:115/10/27\n實際發行總額:1,000,000,000\n本月發行餘額:189,400,000 (截至115/03/18未轉換金額)\n最新轉(交)換價格:83.60\n轉換標的收市價格(3006):213.50  (115/03/18 收盤價)\n可轉債收市價格(30061):248.00   (115/03/18 收盤價)\n4.其他應敘明事項:\n「櫃買中心對有價證券上櫃公司重大訊息之查證暨公開處理程序」\n第四條所列重大訊息之情事:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""晶豪科""}, ""datetime"": ""115/03/18 16:51:24""}",2026-03-18 16:51:18
1150318|sii|5269|1,115/03/18,15:23:49,5269,祥碩,本公司董事會通過買回公司股份(更正買回股份總金額上限),買回公司股份,1150318,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""5269"", ""data"": [[1, ""115/03/18"", ""15:23:49"", ""林哲偉"", ""總經理"", ""(02)22196088"", ""本公司董事會通過買回公司股份\r\n(更正買回股份總金額上限)"", ""35"", ""115/03/05"", ""1.董事會決議日期:115/03/05\r\n2.買回股份目的:維護公司信用及股東權益\r\n3.買回股份種類:普通股\r\n4.買回股份總金額上限(元):29,450,773,439\r\n5.預定買回之期間:115/03/06~115/05/05\r\n6.預定買回之數量(股):900,000\r\n7.買回區間價格(元):896.00~1,939.00，公司股價低於區間價格下限，將繼續買回\r\n8.買回方式:自集中交易市場買回\r\n9.預定買回股份占公司已發行股份總數之比率(%):1.20\r\n10.申報時已持有本公司股份之累積股數(股):0\r\n11.申報前三年內買回公司股份之情形:\r\n無買回\r\n12.已申報買回但未執行完畢之情形:\r\n不適用\r\n13.董事會決議買回股份之會議紀錄:\r\n本公司董事會決議通過\r\n為維護公司信用及股東權益，擬實施庫藏股買回並辦理銷除股份。\r\n買回之區間價格：新台幣896元至1,939元。\r\n若買回期間內，本公司股價低於所定買回區間價格下限時，將繼續執行買回股份。\r\n預定買回股數900仟股。\r\n14.「上市上櫃公司買回本公司股份辦法」第十條規定之轉讓辦法:\r\n不適用\r\n15.「上市上櫃公司買回本公司股份辦法」第十一條規定之轉換或認股辦法:\r\n不適用\r\n16.董事會已考慮公司財務狀況，不影響公司資本維持之聲明:\r\n上述買回股份總數僅佔本公司已發行股份之1.2%，且買回股份所需金額上限占本公司\r\n流動資產約20.17%，茲聲明本公司董事會已考慮公司財務狀況，上述股份之買回並不影響\r\n本公司資本維持。\r\n17.會計師或證券承銷商對買回股份價格之合理性評估意見:\r\n元大證券股份有限公司出具評估意見，祥碩科技股份有限公司依其訂定\r\n買回價格區間執行買回股份，對該公司之財務結構、每股淨值、\r\n股東權益報酬率、流動比率及速動比率等雖有變動，\r\n但對該公司之財務狀況影響尚屬合理。\r\n18.其他證期局所規定之事項:\r\n不適用""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""祥碩""}, ""datetime"": ""115/03/18 16:51:25""}",2026-03-18 16:51:18
1150317|otc|6180|2,115/03/17,17:55:28,6180,橘子,代重要子公司今日傳媒(股)公司公告董事會決議現金增資,現金增資,1150317,otc,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6180"", ""data"": [[2, ""115/03/17"", ""17:55:28"", ""蘇信泓"", ""集團財務長"", ""(02)26588866#1020"", ""代重要子公司今日傳媒(股)公司公告\r\n董事會決議現金增資"", ""11"", ""115/03/17"", ""1.董事會決議日期:115/03/17\n2.增資資金來源:現金增資發行新股\n3.是否採總括申報發行新股(是，請併敘明預定發行期間/否):否\n4.全案發行總金額及股數(如屬盈餘或公積轉增資，發行股數則不含配發給員工部分):\n10,000,000股。\n5.採總括申報發行新股案件，本次發行金額及股數:不適用\n6.採總括申報發行新股案件，本次發行後，剩餘之金額及股數餘額:不適用\n7.每股面額:新台幣10元\n8.發行價格:新台幣10元\n9.員工認購股數或配發金額:依公司法第267條規定，提撥增資發行股數之10%由本公司\n員工認購，計1,000,000股供員工認購。\n10.公開銷售股數:不適用\n11.原股東認購或無償配發比例(請註明暫定每仟股認購或配發股數):\n原股東認購比率90%，計9,000,000股，由原股東按認股基準日股東名簿記載之股東及\n其持有股份比例分別認購之。\n12.畸零股及逾期未認購股份之處理方式:\n原股東認購不足一股之畸零股得由股東在停止過戶日起五日內，逕向本公司股務室辦\n理拼湊，其拼湊不足一股之畸零股及原股東、員工與對外公開承銷放棄認購或認購不\n足及逾期未申報拼湊之部分，授權董事長洽特定人認購之。\n13.本次發行新股之權利義務:與原發行普通股相同\n14.本次增資資金用途:充實營運資金\n15.其他應敘明事項:\n(1)現金增資繳款期間:115年3月30日~115年4月30日\n(2)發行新股基準日:115年4月30日""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""橘子""}, ""datetime"": ""115/03/18 16:51:26""}",2026-03-18 16:51:18
1150317|otc|6187|1,115/03/17,18:52:00,6187,萬潤,本公司可轉換公司債萬潤五(代號:61875)近期達公布注意交易資訊標準，故公告相關訊息，以利投資人區別瞭解,公司債,1150317,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6187"", ""data"": [[1, ""115/03/17"", ""18:52:00"", ""盧慧萱"", ""董事長特助"", ""(07)607-1828"", ""本公司可轉換公司債萬潤五(代號:61875)近期達公布\r\n注意交易資訊標準，故公告相關訊息，以利投資人區別瞭解"", ""53"", ""115/03/17"", ""1.事實發生日:115/03/17\n2.發生緣由:依證券櫃檯買賣中心通知辦理\n3.財務業務資訊:\n萬潤五(61875)可轉債相關資訊\n到期日期:116/07/10\n實際發行總額:500,000,000\n本月發行餘額:177,100,000(截至115/02/28)\n最新轉(交)換價格:276.8(自114/07/28生效)\n可轉換標的收市價格(6187):681(115/03/17)\n可轉債收市價格(61875):267(115/03/17)\n4.有無「財團法人中華民國證券櫃檯買賣中心對有價證券上櫃公司\n重大訊息之查證暨公開處理程序 」第4條所列重大訊息之情事（如\n「有」，請說明）:無\n5.有無「財團法人中華民國證券櫃檯買賣中心對有價證券上櫃公司\n重大訊息之查證暨公開處理程序」第11條所列重大訊息說明記者會\n之情事:無\n6.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""萬潤""}, ""datetime"": ""115/03/18 16:51:27""}",2026-03-18 16:51:18
1150318|otc|6913|1,115/03/18,13:41:06,6913,鴻呈,公告本公司國內第一次無擔保轉換公司債收足債款,公司債,1150318,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""6913"", ""data"": [[1, ""115/03/18"", ""13:41:06"", ""林星宏"", ""總經理"", ""(02)3234-3038"", ""公告本公司國內第一次無擔保轉換公司債收足債款"", ""53"", ""115/03/18"", ""1.事實發生日:115/03/18\n2.公司名稱:鴻呈實業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:依據「發行人募集與發行有價證券處理準則」第九條第一項第二款規定辦理\n公告，本公司發行國內第一次無擔保轉換公司債至公告日止，債款代收銀行業已收足所\n有應募款項共計新臺幣492,958,090元整，並匯撥至存儲專戶銀行，特此公告。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""鴻呈""}, ""datetime"": ""115/03/18 16:51:27""}",2026-03-18 16:51:18
1150317|otc|4113|1,115/03/18,13:54:57,4113,聯上,公告本公司發行國內第六次無擔保轉換公司債收足債款,公司債,1150317,otc,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上櫃公司"", ""companyId"": ""4113"", ""data"": [[1, ""115/03/18"", ""13:54:57"", ""呂信杰"", ""開發部副總經理"", ""07-5575242#302"", ""公告本公司發行國內第六次無擔保轉換公司債收足債款"", ""53"", ""115/03/18"", ""1.事實發生日:115/03/18\n2.公司名稱:聯上實業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n  依據「發行人募集與發行有價證券處理準則」第九條第一項第二款規定辦理，本公司\n  發行國內第六次無擔保轉換公司債案至公告日止，債款代收銀行業已收足所有應募款\n  項並匯撥至存儲專戶銀行，共計新臺幣200,058,420元整，特此公告。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，\n本則重大訊息同時符合證券交易法施行細則第7條第9款所定\n對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""聯上""}, ""datetime"": ""115/03/18 16:51:29""}",2026-03-18 16:51:18
